step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
0,4.23437500,4.23437500,0.00000000e+00,-74.18750000,-78.12500000,3.93750000e+00
1,5.44921875,5.45312500,3.90625000e-03,187.50000000,189.50000000,2.00000000e+00
2,6.70312500,6.69921875,3.90625000e-03,324.25000000,322.25000000,2.00000000e+00
3,5.21093750,5.20703125,3.90625000e-03,-168.00000000,-169.87500000,1.87500000e+00
4,4.46484375,4.46875000,3.90625000e-03,-111.31250000,-109.37500000,1.93750000e+00
5,4.37109375,4.37109375,0.00000000e+00,126.93750000,126.93750000,0.00000000e+00
6,6.15625000,6.15625000,0.00000000e+00,101.56250000,101.56250000,0.00000000e+00
7,7.82812500,7.82812500,0.00000000e+00,-66.37500000,-66.37500000,0.00000000e+00
8,6.39062500,6.39453125,3.90625000e-03,23.43750000,27.34375000,3.90625000e+00
9,6.88281250,6.88671875,3.90625000e-03,234.37500000,236.37500000,2.00000000e+00
10,7.78125000,7.78125000,0.00000000e+00,-140.62500000,-140.62500000,0.00000000e+00
11,5.89843750,5.89062500,7.81250000e-03,19.53125000,15.62500000,3.90625000e+00
12,6.88281250,6.88281250,0.00000000e+00,-87.87500000,-91.81250000,3.93750000e+00
13,7.73437500,7.73828125,3.90625000e-03,23.43750000,21.48437500,1.95312500e+00
14,7.11328125,7.10937500,3.90625000e-03,-72.25000000,-74.18750000,1.93750000e+00
15,7.18359375,7.17968750,3.90625000e-03,5.85937500,3.90625000,1.95312500e+00
16,5.46875000,5.46875000,0.00000000e+00,371.00000000,369.25000000,1.75000000e+00
17,4.71093750,4.71093750,0.00000000e+00,-9.76562500,-9.76562500,0.00000000e+00
18,5.90625000,5.90625000,0.00000000e+00,-574.00000000,-574.00000000,0.00000000e+00
19,6.73437500,6.72265625,1.17187500e-02,-85.93750000,-93.75000000,7.81250000e+00
20,5.31250000,5.32031250,7.81250000e-03,-91.81250000,-89.81250000,2.00000000e+00
21,4.19531250,4.19531250,0.00000000e+00,104.50000000,100.56250000,3.93750000e+00
22,6.09375000,6.09765625,3.90625000e-03,-56.62500000,-56.62500000,0.00000000e+00
23,6.25781250,6.25781250,0.00000000e+00,339.75000000,339.75000000,0.00000000e+00
24,6.36718750,6.37500000,7.81250000e-03,17.57812500,23.43750000,5.85937500e+00
25,5.08593750,5.07812500,7.81250000e-03,-355.50000000,-357.50000000,2.00000000e+00
26,10.43750000,10.43750000,0.00000000e+00,54.68750000,54.68750000,0.00000000e+00
27,7.78125000,7.78125000,0.00000000e+00,253.87500000,255.87500000,2.00000000e+00
28,4.20703125,4.21093750,3.90625000e-03,91.81250000,95.68750000,3.87500000e+00
29,4.34375000,4.34765625,3.90625000e-03,-54.68750000,-52.71875000,1.96875000e+00
30,5.69140625,5.69531250,3.90625000e-03,-37.09375000,-35.15625000,1.93750000e+00
31,5.92968750,5.92968750,0.00000000e+00,-52.71875000,-54.68750000,1.96875000e+00
32,7.35937500,7.36328125,3.90625000e-03,-144.50000000,-144.50000000,0.00000000e+00
33,7.09765625,7.10156250,3.90625000e-03,46.87500000,52.71875000,5.84375000e+00
34,6.01562500,6.01953125,3.90625000e-03,-574.00000000,-572.50000000,1.50000000e+00
35,4.90234375,4.91015625,7.81250000e-03,-175.75000000,-171.87500000,3.87500000e+00
36,6.51562500,6.51953125,3.90625000e-03,-117.18750000,-117.18750000,0.00000000e+00
37,4.78906250,4.78906250,0.00000000e+00,-58.59375000,-58.59375000,0.00000000e+00
