================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::reshape         0.82%     982.921ms         2.29%        2.739s     325.407us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -24.50 Kb           0 b          8417            --  
                                         aten::var_mean         1.00%        1.202s         2.21%        2.648s       1.018ms       0.000us         0.00%       0.000us       0.000us           0 b       9.40 Kb     -75.50 Kb     -38.00 Kb          2601            --  
                                          aten::permute         1.11%        1.333s         2.10%        2.511s     223.964us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -23.00 Kb     -11.00 Kb         11212            --  
                                               aten::mm         0.67%     804.704ms         1.90%        2.280s     207.839us      33.358ms         0.05%      34.316ms       3.128us           0 b           0 b     806.88 Mb     806.88 Mb         10969      3876.635  
                                           aten::matmul         0.14%     165.523ms         1.70%        2.034s       1.478ms       0.000us         0.00%     169.000us       0.123us           0 b           0 b      83.13 Mb           0 b          1376            --  
                                            aten::clone         1.21%        1.451s         1.63%        1.954s      45.157us       0.000us         0.00%       7.220ms       0.167us      46.14 Mb       5.30 Mb     503.97 Mb     -15.34 Mb         43274            --  
                                              aten::add         1.09%        1.300s         1.56%        1.867s      87.631us      23.572ms         0.04%      24.370ms       1.144us      -7.66 Kb      -1.08 Kb      18.55 Gb      18.55 Gb         21306        10.815  
                                              aten::bmm         0.71%     849.504ms         1.53%        1.831s      97.586us      42.446ms         0.06%      72.190ms       3.848us           0 b           0 b       2.68 Gb       2.68 Gb         18758       161.515  
                                    aten::empty_strided         1.30%        1.551s         1.34%        1.602s       7.311us       0.000us         0.00%       0.000us       0.000us      40.67 Mb      40.67 Mb      45.21 Mb      45.21 Mb        219186            --  
                                            aten::alias         0.34%     409.858ms         1.31%        1.570s      55.637us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb           0 b         28213            --  
                                              aten::mul         0.55%     657.579ms         0.85%        1.018s      31.736us      49.632ms         0.07%      51.150ms       1.594us     -42.33 Kb     -40.39 Kb      43.30 Gb      43.30 Gb         32089        23.675  
                                       aten::contiguous         0.26%     307.040ms         0.73%     874.082ms     205.521us       0.000us         0.00%       4.855ms       1.142us           0 b           0 b     502.87 Mb      14.69 Mb          4253            --  
                                            aten::zero_         0.36%     430.386ms         0.68%     811.563ms      14.320us       0.000us         0.00%        2.117s      37.348us         338 b         338 b           0 b           0 b         56672            --  
                                          aten::softmax         0.07%      82.170ms         0.59%     709.384ms       1.095ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -28.50 Kb           0 b           648            --  
                                             aten::set_         0.54%     640.351ms         0.58%     692.031ms       5.453us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        126908            --  
                                          aten::dropout         0.19%     228.357ms         0.54%     649.747ms     334.232us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1944            --  
                                         aten::_softmax         0.11%     133.772ms         0.52%     625.771ms       1.419ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -28.50 Kb           0 b           441            --  
                                          aten::maximum         0.20%     243.397ms         0.50%     598.001ms     455.100us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1314            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 119.687s
Self CUDA time total: 66.555s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
