================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     337.000us       100.00%      173.364s       17.336s       0.000us         0.00%       11.153s        1.115s           0 b           0 b       3.84 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.00%       1.690ms        99.71%      172.853s       17.285s       0.000us         0.00%       10.796s        1.080s           0 b           0 b       3.80 Mb     -14.50 Kb            10            --  
                                           zo_forward_1         0.04%      66.000ms        98.99%      171.619s       17.162s       0.000us         0.00%        9.361s     936.052ms           0 b         -56 b     -93.59 Mb    -619.01 Mb            10            --  
         _compile.<locals>.compile_inner (dynamo_timed)         7.42%       12.865s        95.41%      165.406s       18.378s       0.000us         0.00%        4.264s     473.806ms           0 b     -60.76 Mb    -191.83 Mb    -192.12 Mb             9            --  
          OutputGraph.call_user_compiler (dynamo_timed)         1.18%        2.048s        85.85%      148.826s       16.536s       0.000us         0.00%        3.996s     444.017ms           0 b           0 b     192.00 Kb           0 b             9            --  
          create_aot_dispatcher_function (dynamo_timed)         5.26%        9.124s        84.66%      146.778s       16.309s       0.000us         0.00%        3.996s     444.017ms           0 b     -46.67 Kb     192.00 Kb    -296.00 Kb             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.89%       10.213s        60.29%      104.518s       11.613s       0.000us         0.00%        3.993s     443.657ms           0 b    -157.10 Kb     -56.50 Kb     -58.36 Gb             9            --  
                        compile_fx_inner (dynamo_timed)         3.47%        6.008s        49.44%       85.717s        9.524s       0.000us         0.00%       2.623ms     291.444us           0 b       6.73 Kb      44.00 Kb           0 b             9            --  
         GraphLowering.compile_to_module (dynamo_timed)         7.18%       12.449s        27.25%       47.236s        5.248s       0.000us         0.00%     320.000us      35.556us           0 b           0 b        -512 b           0 b             9            --  
                                           aten::detach         7.35%       12.749s        12.13%       21.029s      48.413us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -100.50 Kb     -98.50 Kb        434376            --  
                       GraphLowering.run (dynamo_timed)        11.75%       20.364s        11.92%       20.668s        2.296s       0.000us         0.00%       1.306ms     145.111us           0 b     -49.89 Kb     -99.50 Kb     -99.50 Kb             9            --  
                                        training_step_8         0.00%     516.000us        11.60%       20.108s       20.108s       0.000us         0.00%        1.467s        1.467s           0 b           0 b     -14.58 Mb           0 b             1            --  
                                        training_step_3         0.00%     579.000us        11.59%       20.101s       20.101s       0.000us         0.00%        2.155s        2.155s           0 b           0 b      -3.80 Mb           0 b             1            --  
                                       training_step_11         0.00%     526.000us        11.40%       19.768s       19.768s       0.000us         0.00%        1.489s        1.489s           0 b           0 b     -29.18 Mb           0 b             1            --  
                                        training_step_6         0.00%     532.000us        11.37%       19.714s       19.714s       0.000us         0.00%     990.999ms     990.999ms           0 b           0 b       2.27 Mb           0 b             1            --  
                                        training_step_9         0.00%     567.000us        11.04%       19.147s       19.147s       0.000us         0.00%     997.562ms     997.562ms           0 b           0 b      -3.81 Mb           0 b             1            --  
                                        training_step_4         0.00%     519.000us        11.01%       19.092s       19.092s       0.000us         0.00%        1.112s        1.112s           0 b           0 b       5.34 Mb           0 b             1            --  
                                        training_step_2         0.00%     611.000us        10.78%       18.685s       18.685s       0.000us         0.00%        1.043s        1.043s           0 b           0 b       1.53 Mb           0 b             1            --  
