========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-6.7b
Total trainable parameters: 516

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
62     model.decoder.layers.3.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
63     model.decoder.layers.3.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
64     model.decoder.layers.3.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
65     model.decoder.layers.3.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
66     model.decoder.layers.3.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
67     model.decoder.layers.3.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
68     model.decoder.layers.3.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
69     model.decoder.layers.4.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
70     model.decoder.layers.4.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
71     model.decoder.layers.4.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
72     model.decoder.layers.4.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
73     model.decoder.layers.4.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
74     model.decoder.layers.4.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
75     model.decoder.layers.4.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
76     model.decoder.layers.4.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
77     model.decoder.layers.4.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
78     model.decoder.layers.4.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
79     model.decoder.layers.4.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
80     model.decoder.layers.4.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
81     model.decoder.layers.4.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
82     model.decoder.layers.4.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
83     model.decoder.layers.4.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
84     model.decoder.layers.4.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
85     model.decoder.layers.5.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
86     model.decoder.layers.5.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
87     model.decoder.layers.5.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
88     model.decoder.layers.5.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
89     model.decoder.layers.5.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
90     model.decoder.layers.5.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
91     model.decoder.layers.5.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
92     model.decoder.layers.5.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
93     model.decoder.layers.5.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
94     model.decoder.layers.5.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
95     model.decoder.layers.5.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
96     model.decoder.layers.5.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
97     model.decoder.layers.5.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
98     model.decoder.layers.5.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
99     model.decoder.layers.5.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
100    model.decoder.layers.5.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
101    model.decoder.layers.6.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
102    model.decoder.layers.6.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
103    model.decoder.layers.6.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
104    model.decoder.layers.6.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
105    model.decoder.layers.6.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
106    model.decoder.layers.6.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
107    model.decoder.layers.6.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
108    model.decoder.layers.6.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
109    model.decoder.layers.6.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
110    model.decoder.layers.6.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
111    model.decoder.layers.6.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
112    model.decoder.layers.6.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
113    model.decoder.layers.6.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
114    model.decoder.layers.6.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
115    model.decoder.layers.6.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
116    model.decoder.layers.6.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
117    model.decoder.layers.7.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
118    model.decoder.layers.7.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
119    model.decoder.layers.7.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
120    model.decoder.layers.7.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
121    model.decoder.layers.7.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
122    model.decoder.layers.7.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
123    model.decoder.layers.7.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
124    model.decoder.layers.7.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
125    model.decoder.layers.7.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
126    model.decoder.layers.7.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
127    model.decoder.layers.7.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
128    model.decoder.layers.7.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
129    model.decoder.layers.7.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
130    model.decoder.layers.7.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
131    model.decoder.layers.7.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
132    model.decoder.layers.7.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
133    model.decoder.layers.8.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
134    model.decoder.layers.8.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
135    model.decoder.layers.8.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
136    model.decoder.layers.8.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
137    model.decoder.layers.8.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
138    model.decoder.layers.8.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
139    model.decoder.layers.8.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
140    model.decoder.layers.8.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
141    model.decoder.layers.8.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
142    model.decoder.layers.8.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
143    model.decoder.layers.8.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
144    model.decoder.layers.8.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
145    model.decoder.layers.8.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
146    model.decoder.layers.8.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
147    model.decoder.layers.8.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
148    model.decoder.layers.8.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
149    model.decoder.layers.9.self_attn.k_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
150    model.decoder.layers.9.self_attn.k_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
151    model.decoder.layers.9.self_attn.v_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
152    model.decoder.layers.9.self_attn.v_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
153    model.decoder.layers.9.self_attn.q_proj.weight               (4096, 4096)                   16,777,216      32.0000 torch.float16  
154    model.decoder.layers.9.self_attn.q_proj.bias                 (4096,)                             4,096       0.0078 torch.float16  
155    model.decoder.layers.9.self_attn.out_proj.weight             (4096, 4096)                   16,777,216      32.0000 torch.float16  
156    model.decoder.layers.9.self_attn.out_proj.bias               (4096,)                             4,096       0.0078 torch.float16  
157    model.decoder.layers.9.self_attn_layer_norm.weight           (4096,)                             4,096       0.0078 torch.float16  
158    model.decoder.layers.9.self_attn_layer_norm.bias             (4096,)                             4,096       0.0078 torch.float16  
159    model.decoder.layers.9.fc1.weight                            (16384, 4096)                  67,108,864     128.0000 torch.float16  
160    model.decoder.layers.9.fc1.bias                              (16384,)                           16,384       0.0312 torch.float16  
161    model.decoder.layers.9.fc2.weight                            (4096, 16384)                  67,108,864     128.0000 torch.float16  
162    model.decoder.layers.9.fc2.bias                              (4096,)                             4,096       0.0078 torch.float16  
163    model.decoder.layers.9.final_layer_norm.weight               (4096,)                             4,096       0.0078 torch.float16  
164    model.decoder.layers.9.final_layer_norm.bias                 (4096,)                             4,096       0.0078 torch.float16  
165    model.decoder.layers.10.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
166    model.decoder.layers.10.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
167    model.decoder.layers.10.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
168    model.decoder.layers.10.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
169    model.decoder.layers.10.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
170    model.decoder.layers.10.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
171    model.decoder.layers.10.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
172    model.decoder.layers.10.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
173    model.decoder.layers.10.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
174    model.decoder.layers.10.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
175    model.decoder.layers.10.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
176    model.decoder.layers.10.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
177    model.decoder.layers.10.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
