========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-6.7b
Total trainable parameters: 516

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
264    model.decoder.layers.16.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
265    model.decoder.layers.16.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
266    model.decoder.layers.16.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
267    model.decoder.layers.16.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
268    model.decoder.layers.16.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
269    model.decoder.layers.16.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
270    model.decoder.layers.16.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
271    model.decoder.layers.16.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
272    model.decoder.layers.16.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
273    model.decoder.layers.16.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
274    model.decoder.layers.16.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
275    model.decoder.layers.16.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
276    model.decoder.layers.16.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
277    model.decoder.layers.17.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
278    model.decoder.layers.17.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
279    model.decoder.layers.17.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
280    model.decoder.layers.17.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
281    model.decoder.layers.17.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
282    model.decoder.layers.17.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
283    model.decoder.layers.17.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
284    model.decoder.layers.17.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
285    model.decoder.layers.17.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
286    model.decoder.layers.17.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
287    model.decoder.layers.17.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
288    model.decoder.layers.17.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
289    model.decoder.layers.17.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
290    model.decoder.layers.17.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
291    model.decoder.layers.17.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
292    model.decoder.layers.17.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
293    model.decoder.layers.18.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
294    model.decoder.layers.18.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
295    model.decoder.layers.18.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
296    model.decoder.layers.18.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
297    model.decoder.layers.18.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
298    model.decoder.layers.18.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
299    model.decoder.layers.18.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
300    model.decoder.layers.18.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
301    model.decoder.layers.18.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
302    model.decoder.layers.18.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
303    model.decoder.layers.18.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
304    model.decoder.layers.18.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
305    model.decoder.layers.18.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
306    model.decoder.layers.18.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
307    model.decoder.layers.18.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
308    model.decoder.layers.18.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
309    model.decoder.layers.19.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
310    model.decoder.layers.19.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
311    model.decoder.layers.19.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
312    model.decoder.layers.19.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
313    model.decoder.layers.19.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
314    model.decoder.layers.19.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
315    model.decoder.layers.19.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
316    model.decoder.layers.19.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
317    model.decoder.layers.19.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
318    model.decoder.layers.19.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
319    model.decoder.layers.19.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
320    model.decoder.layers.19.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
321    model.decoder.layers.19.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
322    model.decoder.layers.19.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
323    model.decoder.layers.19.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
324    model.decoder.layers.19.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
325    model.decoder.layers.20.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
326    model.decoder.layers.20.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
327    model.decoder.layers.20.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
328    model.decoder.layers.20.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
329    model.decoder.layers.20.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
330    model.decoder.layers.20.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
331    model.decoder.layers.20.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
332    model.decoder.layers.20.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
333    model.decoder.layers.20.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
334    model.decoder.layers.20.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
335    model.decoder.layers.20.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
336    model.decoder.layers.20.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
337    model.decoder.layers.20.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
338    model.decoder.layers.20.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
339    model.decoder.layers.20.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
340    model.decoder.layers.20.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
341    model.decoder.layers.21.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
342    model.decoder.layers.21.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
343    model.decoder.layers.21.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
344    model.decoder.layers.21.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
345    model.decoder.layers.21.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
346    model.decoder.layers.21.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
347    model.decoder.layers.21.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
348    model.decoder.layers.21.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
349    model.decoder.layers.21.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
350    model.decoder.layers.21.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
351    model.decoder.layers.21.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
352    model.decoder.layers.21.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
353    model.decoder.layers.21.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
354    model.decoder.layers.21.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
355    model.decoder.layers.21.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
356    model.decoder.layers.21.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
357    model.decoder.layers.22.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
358    model.decoder.layers.22.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
359    model.decoder.layers.22.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
360    model.decoder.layers.22.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
361    model.decoder.layers.22.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
362    model.decoder.layers.22.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
363    model.decoder.layers.22.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
364    model.decoder.layers.22.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
365    model.decoder.layers.22.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
366    model.decoder.layers.22.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
367    model.decoder.layers.22.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
368    model.decoder.layers.22.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
369    model.decoder.layers.22.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
370    model.decoder.layers.22.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
371    model.decoder.layers.22.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
372    model.decoder.layers.22.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
373    model.decoder.layers.23.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
374    model.decoder.layers.23.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
375    model.decoder.layers.23.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
376    model.decoder.layers.23.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
377    model.decoder.layers.23.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
378    model.decoder.layers.23.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
379    model.decoder.layers.23.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
380    model.decoder.layers.23.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
381    model.decoder.layers.23.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
382    model.decoder.layers.23.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
383    model.decoder.layers.23.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
384    model.decoder.layers.23.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
385    model.decoder.layers.23.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
386    model.decoder.layers.23.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
387    model.decoder.layers.23.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
388    model.decoder.layers.23.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
389    model.decoder.layers.24.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
390    model.decoder.layers.24.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
391    model.decoder.layers.24.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
392    model.decoder.layers.24.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
393    model.decoder.layers.24.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
394    model.decoder.layers.24.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
395    model.decoder.layers.24.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
396    model.decoder.layers.24.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
397    model.decoder.layers.24.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
398    model.decoder.layers.24.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
399    model.decoder.layers.24.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
400    model.decoder.layers.24.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
401    model.decoder.layers.24.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
402    model.decoder.layers.24.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
403    model.decoder.layers.24.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
404    model.decoder.layers.24.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
405    model.decoder.layers.25.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
406    model.decoder.layers.25.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
407    model.decoder.layers.25.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
408    model.decoder.layers.25.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
409    model.decoder.layers.25.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
410    model.decoder.layers.25.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
411    model.decoder.layers.25.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
412    model.decoder.layers.25.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
413    model.decoder.layers.25.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
414    model.decoder.layers.25.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
415    model.decoder.layers.25.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
416    model.decoder.layers.25.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
417    model.decoder.layers.25.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
418    model.decoder.layers.25.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
419    model.decoder.layers.25.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
420    model.decoder.layers.25.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
421    model.decoder.layers.26.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
422    model.decoder.layers.26.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
423    model.decoder.layers.26.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
424    model.decoder.layers.26.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
425    model.decoder.layers.26.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
426    model.decoder.layers.26.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
427    model.decoder.layers.26.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
428    model.decoder.layers.26.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
429    model.decoder.layers.26.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
430    model.decoder.layers.26.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
431    model.decoder.layers.26.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
432    model.decoder.layers.26.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
433    model.decoder.layers.26.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
434    model.decoder.layers.26.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
435    model.decoder.layers.26.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
436    model.decoder.layers.26.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
437    model.decoder.layers.27.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
438    model.decoder.layers.27.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
439    model.decoder.layers.27.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
440    model.decoder.layers.27.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
441    model.decoder.layers.27.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
442    model.decoder.layers.27.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
443    model.decoder.layers.27.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
444    model.decoder.layers.27.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
445    model.decoder.layers.27.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
446    model.decoder.layers.27.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
447    model.decoder.layers.27.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
448    model.decoder.layers.27.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
449    model.decoder.layers.27.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
450    model.decoder.layers.27.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
451    model.decoder.layers.27.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
452    model.decoder.layers.27.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
453    model.decoder.layers.28.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
454    model.decoder.layers.28.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
455    model.decoder.layers.28.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
456    model.decoder.layers.28.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
457    model.decoder.layers.28.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
458    model.decoder.layers.28.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
459    model.decoder.layers.28.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
460    model.decoder.layers.28.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
461    model.decoder.layers.28.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
462    model.decoder.layers.28.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
463    model.decoder.layers.28.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
464    model.decoder.layers.28.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
465    model.decoder.layers.28.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
466    model.decoder.layers.28.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
467    model.decoder.layers.28.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
468    model.decoder.layers.28.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
469    model.decoder.layers.29.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
470    model.decoder.layers.29.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
471    model.decoder.layers.29.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
472    model.decoder.layers.29.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
473    model.decoder.layers.29.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
474    model.decoder.layers.29.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
475    model.decoder.layers.29.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
476    model.decoder.layers.29.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
477    model.decoder.layers.29.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
478    model.decoder.layers.29.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
479    model.decoder.layers.29.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
480    model.decoder.layers.29.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
481    model.decoder.layers.29.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
482    model.decoder.layers.29.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
483    model.decoder.layers.29.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
484    model.decoder.layers.29.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
485    model.decoder.layers.30.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
486    model.decoder.layers.30.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
487    model.decoder.layers.30.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
488    model.decoder.layers.30.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
489    model.decoder.layers.30.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
490    model.decoder.layers.30.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
491    model.decoder.layers.30.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
492    model.decoder.layers.30.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
493    model.decoder.layers.30.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
494    model.decoder.layers.30.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
495    model.decoder.layers.30.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
496    model.decoder.layers.30.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
497    model.decoder.layers.30.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
498    model.decoder.layers.30.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
499    model.decoder.layers.30.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
500    model.decoder.layers.30.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
501    model.decoder.layers.31.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
502    model.decoder.layers.31.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
503    model.decoder.layers.31.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
504    model.decoder.layers.31.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
505    model.decoder.layers.31.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
506    model.decoder.layers.31.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
507    model.decoder.layers.31.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
508    model.decoder.layers.31.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
509    model.decoder.layers.31.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
510    model.decoder.layers.31.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
511    model.decoder.layers.31.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
512    model.decoder.layers.31.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
513    model.decoder.layers.31.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
514    model.decoder.layers.31.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
515    model.decoder.layers.31.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
516    model.decoder.layers.31.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                           6,658,473,984   12700.0312
========================================================================================================================


PARAMETER STATISTICS BY LAYER TYPE:
------------------------------------------------------------
Layer Type                                    Count             Elements     Memory (MB)
-------------------------------------------------------------------------------------
fc1.weight                                       32        2,147,483,648       4096.0000
fc2.weight                                       32        2,147,483,648       4096.0000
k_proj.weight                                    32          536,870,912       1024.0000
v_proj.weight                                    32          536,870,912       1024.0000
q_proj.weight                                    32          536,870,912       1024.0000
out_proj.weight                                  32          536,870,912       1024.0000
embed_tokens.weight                               1          205,914,112        392.7500
embed_positions.weight                            1            8,396,800         16.0156
fc1.bias                                         32              524,288          1.0000
final_layer_norm.weight                          33              135,168          0.2578
final_layer_norm.bias                            33              135,168          0.2578
k_proj.bias                                      32              131,072          0.2500
v_proj.bias                                      32              131,072          0.2500
q_proj.bias                                      32              131,072          0.2500
out_proj.bias                                    32              131,072          0.2500
self_attn_layer_norm.weight                      32              131,072          0.2500
self_attn_layer_norm.bias                        32              131,072          0.2500
fc2.bias                                         32              131,072          0.2500
