================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.14%       1.680ms         1.53%      18.041ms      27.755us       0.000us         0.00%       5.095ms       7.838us           0 b           0 b     394.21 Mb    -468.00 Kb           650            --  
                                       aten::contiguous         0.23%       2.700ms         1.52%      17.982ms      18.349us       0.000us         0.00%       2.737ms       2.793us           0 b           0 b     653.89 Mb      87.82 Mb           980            --  
                                aten::native_layer_norm         0.74%       8.725ms         1.38%      16.361ms      25.171us       5.095ms         0.25%       5.095ms       7.838us           0 b           0 b     394.67 Mb     -26.50 Kb           650            --  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         1.08%      12.767ms         1.08%      12.767ms      19.642us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           650            --  
                                          aten::reshape         0.20%       2.372ms         0.91%      10.728ms       5.502us       0.000us         0.00%     961.000us       0.493us           0 b           0 b     194.00 Mb           0 b          1950            --  
                                    cudaLaunchKernelExC         0.79%       9.383ms         0.79%       9.383ms       4.862us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1930            --  
                                       aten::empty_like         0.23%       2.735ms         0.75%       8.853ms       6.707us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     847.96 Mb      69.34 Mb          1320            --  
                                                aten::t         0.30%       3.554ms         0.63%       7.431ms       3.850us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1930            --  
                                        aten::transpose         0.55%       6.448ms         0.58%       6.900ms       1.955us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3530            --  
                                             aten::relu         0.07%     849.000us         0.41%       4.820ms      15.062us       0.000us         0.00%     814.000us       2.544us           0 b           0 b     826.56 Mb           0 b           320            --  
                                              aten::max         0.05%     583.000us         0.37%       4.348ms      13.588us       0.000us         0.00%       1.205ms       3.766us           0 b           0 b      32.22 Mb       1.52 Mb           320            --  
                                  cudaFuncGetAttributes         0.35%       4.140ms         0.35%       4.140ms       2.102us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1970            --  
                                          aten::maximum         0.22%       2.562ms         0.34%       3.999ms      12.497us       1.281ms         0.06%       1.281ms       4.003us           0 b           0 b      32.22 Mb      32.22 Mb           320            --  
                                        aten::clamp_min         0.22%       2.655ms         0.34%       3.971ms      12.409us     814.000us         0.04%     814.000us       2.544us           0 b           0 b     826.56 Mb     826.56 Mb           320            --  
                                          aten::softmax         0.04%     504.000us         0.32%       3.744ms      11.700us       0.000us         0.00%     634.000us       1.981us           0 b           0 b      64.41 Mb     544.00 Kb           320            --  
                                         aten::_softmax         0.18%       2.177ms         0.28%       3.275ms      10.234us     640.000us         0.03%     640.000us       2.000us           0 b           0 b      64.41 Mb      64.41 Mb           320            --  
                                             cudaMalloc         0.26%       3.110ms         0.26%       3.110ms     172.778us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            18            --  
                                        cudaMemcpyAsync         0.22%       2.545ms         0.22%       2.545ms       7.069us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           360            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.183s
Self CUDA time total: 2.045s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     145.000us       100.00%        1.183s     236.505ms       0.000us         0.00%     875.062ms     175.012ms           0 b           0 b     -38.35 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.07%     851.000us        76.15%     900.547ms     180.109ms       0.000us         0.00%     705.418ms     141.084ms           0 b           0 b      74.88 Mb      -5.00 Kb             5            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     317.381ms        15.52%     317.381ms      29.804us           0 b           0 b           0 b           0 b         10649            --  
                                          aten::normal_         4.72%      55.760ms         7.85%      92.887ms       9.001us     307.826ms        15.05%     307.826ms      29.828us           0 b           0 b           0 b           0 b         10320            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     302.141ms        14.77%     302.141ms      16.149us           0 b           0 b           0 b           0 b         18710            --  
                                              aten::mul         9.63%     113.913ms        15.37%     181.775ms       9.884us     296.843ms        14.51%     296.843ms      16.142us     -19.37 Kb     -19.37 Kb     433.65 Gb     433.65 Gb         18390       233.148  
                                           aten::normal         2.99%      35.389ms        12.39%     146.566ms      14.202us       0.000us         0.00%     273.474ms      26.499us           0 b           0 b     246.77 Gb      -1.28 Gb         10320            --  
                                       zo_perturb_-2eps         0.00%       0.000us         0.00%       0.000us       0.000us     231.157ms        11.30%     231.157ms      46.231ms           0 b           0 b           0 b           0 b             5            --  
                                  zo_perturb_+eps_reset         0.00%       0.000us         0.00%       0.000us       0.000us     231.141ms        11.30%     231.141ms      46.228ms           0 b           0 b           0 b           0 b             5            --  
                                        zo_perturb_+eps         0.00%       0.000us         0.00%       0.000us       0.000us     231.114ms        11.30%     231.114ms      46.223ms           0 b           0 b           0 b           0 b             5            --  
                                       zo_perturb_-2eps         4.61%      54.491ms        13.75%     162.555ms      32.511ms       0.000us         0.00%     212.331ms      42.466ms           0 b       5.63 Kb           0 b    -221.29 Gb             5            --  
