================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clone         1.23%     797.906ms         1.61%        1.040s      45.623us       0.000us         0.00%       1.161ms       0.051us      25.67 Mb       2.16 Mb     118.83 Mb      -5.00 Kb         22797            --  
                                              aten::add         1.12%     722.979ms         1.59%        1.030s      92.053us      13.720ms         0.04%      14.623ms       1.307us      -4.22 Kb        -648 b       9.28 Gb       9.28 Gb         11190         5.601  
                                    aten::empty_strided         1.31%     849.557ms         1.36%     877.239ms       7.204us       0.000us         0.00%       0.000us       0.000us      23.42 Mb      23.42 Mb       1.95 Mb       1.95 Mb        121769            --  
                                            aten::alias         0.35%     224.561ms         1.33%     860.891ms      54.851us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.50 Kb           0 b         15695            --  
                                              aten::bmm         0.52%     338.196ms         1.31%     844.251ms     347.428us       1.612ms         0.00%       1.869ms       0.769us           0 b           0 b      -7.00 Kb      -2.00 Kb          2430        21.885  
                                         aten::var_mean         0.48%     310.165ms         1.17%     756.429ms     523.480us       0.000us         0.00%       0.000us       0.000us           0 b       5.18 Kb      -2.00 Kb      -1.00 Kb          1445            --  
                                              aten::mul         0.55%     357.617ms         0.86%     554.666ms      34.024us      26.630ms         0.08%      28.766ms       1.765us     -24.19 Kb     -23.02 Kb      21.66 Gb      21.66 Gb         16302        11.942  
                                       aten::contiguous         0.26%     168.870ms         0.69%     445.076ms     404.615us       0.000us         0.00%     145.000us       0.132us           0 b           0 b     118.15 Mb      21.87 Mb          1100            --  
                                          aten::softmax         0.07%      45.596ms         0.61%     393.554ms       1.093ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -13.50 Kb           0 b           360            --  
                                             aten::set_         0.55%     353.068ms         0.59%     380.868ms       5.397us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         70575            --  
                                          aten::dropout         0.19%     125.659ms         0.56%     359.102ms     332.502us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1080            --  
                                         aten::_softmax         0.12%      74.803ms         0.54%     347.197ms       1.417ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -13.50 Kb           0 b           245            --  
                                          aten::maximum         0.21%     135.896ms         0.52%     334.034ms     457.581us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           730            --  
                                              aten::max         0.11%      69.246ms         0.40%     261.620ms     726.722us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           360            --  
                 WrapperCodeGen.generate (dynamo_timed)         0.40%     259.436ms         0.40%     259.436ms      51.887ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             5            --  
                                              aten::sub         0.23%     151.288ms         0.39%     255.359ms      76.181us       4.591ms         0.01%       4.791ms       1.429us        -712 b        -516 b       3.09 Gb       3.09 Gb          3352            --  
                                         prims::view_of         0.30%     197.207ms         0.39%     252.968ms      16.736us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         15115            --  
