================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sub         1.55%      23.674ms         2.43%      37.183ms       9.461us       7.980ms         0.48%       8.040ms       2.046us         -24 b         -24 b       6.19 Gb       6.19 Gb          3930            --  
                                       aten::layer_norm         0.29%       4.426ms         2.27%      34.703ms      36.149us       0.000us         0.00%       3.062ms       3.190us           0 b           0 b     190.68 Mb    -874.00 Kb           960            --  
                                       aten::contiguous         0.26%       3.984ms         2.03%      31.145ms      21.044us       0.000us         0.00%       3.729ms       2.520us           0 b           0 b     473.71 Mb      72.41 Mb          1480            --  
                                aten::native_layer_norm         0.85%      13.020ms         1.98%      30.277ms      31.539us       2.933ms         0.18%       3.062ms       3.190us           0 b           0 b     191.53 Mb           0 b           960            --  
                                              aten::bmm         1.01%      15.450ms         1.44%      22.053ms      22.972us       2.448ms         0.15%       2.671ms       2.782us           0 b           0 b     139.38 Mb     139.38 Mb           960         5.914  
                                          aten::reshape         0.29%       4.418ms         0.94%      14.458ms       4.852us       0.000us         0.00%       1.367ms       0.459us           0 b           0 b      95.25 Mb           0 b          2980            --  
                                    cudaLaunchKernelExC         0.92%      14.098ms         0.92%      14.098ms       5.422us     271.000us         0.02%     271.000us       0.104us           0 b           0 b           0 b           0 b          2600            --  
                                       aten::empty_like         0.26%       4.004ms         0.83%      12.735ms       6.367us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     569.20 Mb      18.86 Mb          2000            --  
                                                aten::t         0.35%       5.347ms         0.74%      11.290ms       3.840us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2940            --  
                                        aten::transpose         0.63%       9.611ms         0.67%      10.341ms       1.937us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5340            --  
                                             aten::relu         0.08%       1.256ms         0.50%       7.721ms      16.085us       0.000us         0.00%     596.000us       1.242us           0 b           0 b     395.44 Mb           0 b           480            --  
                                              aten::max         0.06%     952.000us         0.47%       7.155ms      14.906us       0.000us         0.00%       1.698ms       3.538us           0 b           0 b      44.13 Mb       2.78 Mb           480            --  
                                          aten::maximum         0.28%       4.292ms         0.43%       6.607ms      13.765us       1.771ms         0.11%       1.812ms       3.775us           0 b           0 b      44.13 Mb      44.13 Mb           480            --  
                                        aten::clamp_min         0.30%       4.623ms         0.42%       6.465ms      13.469us     533.000us         0.03%     596.000us       1.242us           0 b           0 b     395.44 Mb     395.44 Mb           480            --  
                                          aten::softmax         0.06%     894.000us         0.41%       6.305ms      13.135us       0.000us         0.00%     947.000us       1.973us           0 b           0 b      88.17 Mb       2.07 Mb           480            --  
                                  cudaFuncGetAttributes         0.37%       5.664ms         0.37%       5.664ms       2.104us     283.000us         0.02%     283.000us       0.105us           0 b           0 b           0 b           0 b          2692            --  
                                         aten::_softmax         0.25%       3.885ms         0.36%       5.534ms      11.529us     926.000us         0.06%     964.000us       2.008us           0 b           0 b      88.17 Mb      88.17 Mb           480            --  
                                    aten::empty_strided         0.31%       4.818ms         0.31%       4.818ms       4.380us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      44.70 Mb      44.70 Mb          1100            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.532s
Self CUDA time total: 1.672s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
