================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::transpose         0.58%        1.008s         3.48%        6.087s     568.684us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -160.00 Kb           0 b         10703            --  
                                          aten::permute         1.45%        2.534s         3.20%        5.591s     378.362us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -172.50 Kb     -63.50 Kb         14778            --  
                                aten::native_layer_norm         0.43%     754.664ms         2.65%        4.634s       2.587ms       0.000us         0.00%       0.000us       0.000us           0 b        1008 b      -8.50 Kb           0 b          1791            --  
                                       aten::layer_norm         0.26%     451.661ms         2.50%        4.370s       2.490ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -8.50 Kb           0 b          1755            --  
                                  cudaDeviceSynchronize         2.39%        4.170s         2.39%        4.170s       5.388ms     589.000us         0.00%     589.000us       0.761us           0 b           0 b           0 b           0 b           774            --  
                                          aten::reshape         0.74%        1.294s         2.06%        3.601s     325.514us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -35.50 Kb           0 b         11063            --  
                                         aten::var_mean         0.43%     750.433ms         1.66%        2.901s     822.255us       0.000us         0.00%       0.000us       0.000us           0 b      12.91 Kb      -1.00 Kb           0 b          3528            --  
                                            aten::clone         1.14%        1.985s         1.61%        2.820s      39.792us       0.000us         0.00%      46.293ms       0.653us      60.69 Mb       5.56 Mb      26.65 Gb     -48.84 Mb         70877            --  
                                               aten::mm         0.53%     924.531ms         1.61%        2.812s     302.024us      60.144ms         0.06%      87.881ms       9.438us           0 b           0 b      82.80 Mb      82.80 Mb          9311     26923.243  
                                              aten::bmm         0.71%        1.234s         1.46%        2.550s      84.154us      91.621ms         0.09%     122.534ms       4.044us           0 b           0 b       8.73 Gb       8.73 Gb         30303       522.172  
                                           aten::matmul         0.09%     163.337ms         1.45%        2.535s       1.445ms       0.000us         0.00%     636.000us       0.363us           0 b           0 b      82.80 Mb           0 b          1754            --  
                                              aten::add         1.00%        1.756s         1.44%        2.513s      88.629us     125.559ms         0.12%     152.152ms       5.367us     -10.28 Kb      -1.24 Kb     148.19 Gb     148.19 Gb         28350        82.426  
                                    aten::empty_strided         1.24%        2.165s         1.28%        2.234s       7.357us       0.000us         0.00%       0.000us       0.000us      54.93 Mb      54.93 Mb      26.07 Gb      26.07 Gb        303663            --  
                                            aten::alias         0.31%     538.931ms         1.18%        2.068s      55.488us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.00 Kb           0 b         37278            --  
                                            aten::zero_         0.39%     675.335ms         0.89%        1.551s      11.198us       0.000us         0.00%        7.611s      54.959us         540 b         540 b     -30.50 Kb     -30.50 Kb        138486            --  
                                              aten::mul         0.52%     905.611ms         0.80%        1.395s      32.562us     258.677ms         0.24%     311.760ms       7.277us     -51.68 Kb     -49.98 Kb     345.78 Gb     345.78 Gb         42842       187.252  
                                       aten::contiguous         0.23%     406.779ms         0.67%        1.168s     192.819us       0.000us         0.00%       7.565ms       1.249us           0 b           0 b     947.91 Mb      68.49 Mb          6057            --  
                                          aten::softmax         0.06%     108.899ms         0.54%     942.174ms       1.090ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -35.00 Kb           0 b           864            --  
                                             aten::set_         0.49%     853.176ms         0.53%     922.309ms       5.493us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        167920            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 174.815s
Self CUDA time total: 107.737s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          create_aot_dispatcher_function (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       41.433s        38.46%       41.433s        4.604s           0 b           0 b           0 b           0 b             9            --  
                       GraphLowering.run (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       18.012s        16.72%       18.012s        2.001s           0 b           0 b           0 b           0 b             9            --  
         _compile.<locals>.compile_inner (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us       11.662s        10.82%       11.662s        1.296s           0 b           0 b           0 b           0 b             9            --  
                                          ProfilerStep*         0.00%     265.000us       100.00%      174.815s       17.482s       0.000us         0.00%       10.918s        1.092s           0 b           0 b       3.88 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.00%       1.702ms        99.84%      174.537s       17.454s       0.000us         0.00%       10.769s        1.077s           0 b           0 b       3.88 Mb     -14.50 Kb            10            --  
                                           zo_forward_1         0.04%      67.749ms        99.15%      173.328s       17.333s       0.000us         0.00%       10.005s        1.001s           0 b         -32 b     -94.15 Mb    -440.66 Mb            10            --  
                                            aten::fill_         0.30%     520.437ms         0.50%     878.802ms       7.524us        7.531s         6.99%        7.620s      65.242us         488 b         488 b           0 b           0 b        116803            --  
                                            aten::zero_         0.39%     675.335ms         0.89%        1.551s      11.198us       0.000us         0.00%        7.611s      54.959us         540 b         540 b     -30.50 Kb     -30.50 Kb        138486            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us        7.513s         6.97%        7.513s      76.003us           0 b           0 b           0 b           0 b         98856            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         0.00%       0.000us         0.00%       0.000us       0.000us        7.378s         6.85%        7.378s     136.627ms           0 b           0 b           0 b           0 b            54            --  
                                  Torch-Compiled Region         0.08%     132.430ms         4.50%        7.862s     393.097ms        1.346s         1.25%        6.493s     324.627ms           0 b           0 b     751.94 Mb     751.94 Mb            20            --  
                        compile_fx_inner (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        6.344s         5.89%        6.344s     704.910ms           0 b           0 b           0 b           0 b             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         0.00%       0.000us         0.00%       0.000us       0.000us        5.950s         5.52%        5.950s     661.136ms           0 b           0 b           0 b           0 b             9            --  
                                           zo_forward_1         0.00%       0.000us         0.00%       0.000us       0.000us        5.367s         4.98%        5.367s     536.699ms           0 b           0 b           0 b           0 b            10            --  
CachingAutotuner.benchmark_all_configs (dynamo_timed...         1.41%        2.463s         4.32%        7.557s     139.952ms       0.000us         0.00%        5.025s      93.053ms           0 b    -295.25 Kb           0 b     -61.96 Gb            54            --  
         _compile.<locals>.compile_inner (dynamo_timed)         6.34%       11.081s        94.68%      165.519s       18.391s       0.000us         0.00%        3.587s     398.560ms           0 b     -60.63 Mb    -191.69 Mb    -191.93 Mb             9            --  
          OutputGraph.call_user_compiler (dynamo_timed)         1.18%        2.066s        86.69%      151.541s       16.838s       0.000us         0.00%        3.569s     396.543ms           0 b           0 b      96.00 Kb           0 b             9            --  
          create_aot_dispatcher_function (dynamo_timed)         5.25%        9.174s        85.50%      149.475s       16.608s       0.000us         0.00%        3.569s     396.543ms           0 b     -46.71 Kb      96.00 Kb    -300.00 Kb             9            --  
    compile_fx.<locals>.fw_compiler_base (dynamo_timed)         5.24%        9.160s        60.41%      105.610s       11.734s       0.000us         0.00%        3.568s     396.452ms           0 b    -149.13 Kb     -56.50 Kb     -44.31 Gb             9            --  
                                        training_step_3         0.00%     501.000us        11.27%       19.700s       19.700s       0.000us         0.00%        1.948s        1.948s           0 b           0 b      -3.79 Mb           0 b             1            --  
                                        training_step_8         0.00%     467.000us        11.29%       19.730s       19.730s       0.000us         0.00%        1.497s        1.497s           0 b           0 b     -14.42 Mb           0 b             1            --  
                                       training_step_11         0.00%     523.000us        11.40%       19.921s       19.921s       0.000us         0.00%        1.484s        1.484s           0 b           0 b     -29.76 Mb           0 b             1            --  
                                        training_step_4         0.00%     529.000us        10.96%       19.153s       19.153s       0.000us         0.00%        1.109s        1.109s           0 b           0 b       5.37 Mb           0 b             1            --  
                                        training_step_9         0.00%     507.000us        11.01%       19.253s       19.253s       0.000us         0.00%        1.042s        1.042s           0 b           0 b      -3.95 Mb           0 b             1            --  
                                        training_step_6         0.00%     518.000us        11.01%       19.251s       19.251s       0.000us         0.00%        1.039s        1.039s           0 b           0 b       3.07 Mb           0 b             1            --  
                                        training_step_7         0.00%     507.000us        11.15%       19.493s       19.493s       0.000us         0.00%        1.010s        1.010s           0 b           0 b      16.83 Mb           0 b             1            --  
                                        training_step_2         0.00%     486.000us        11.05%       19.323s       19.323s       0.000us         0.00%     949.568ms     949.568ms           0 b           0 b       1.53 Mb           0 b             1            --  
                                        training_step_5         0.00%     522.000us        10.77%       18.828s       18.828s       0.000us         0.00%     762.325ms     762.325ms           0 b           0 b       4.60 Mb           0 b             1            --  
                              triton__0d1d2d3d4d5d6e7de         0.00%       0.000us         0.00%       0.000us       0.000us     401.666ms         0.37%     401.666ms      59.870us           0 b           0 b           0 b           0 b          6709            --  
                             triton__0d1d2d3d4d5d6de7de         0.00%       0.000us         0.00%       0.000us       0.000us     401.368ms         0.37%     401.368ms      59.383us           0 b           0 b           0 b           0 b          6759            --  
                                            aten::addmm         1.66%        2.907s         5.23%        9.141s     372.871us     291.010ms         0.27%     395.967ms      16.151us           0 b          88 b      11.23 Gb      11.23 Gb         24516     72099.247  
                               triton__0d1d2d3d4d5d67de         0.00%       0.000us         0.00%       0.000us       0.000us     394.275ms         0.37%     394.275ms      57.382us           0 b           0 b           0 b           0 b          6871            --  
                                       zo_perturb_-2eps         0.00%       0.000us         0.00%       0.000us       0.000us     354.771ms         0.33%     354.771ms      35.477ms           0 b           0 b           0 b           0 b            10            --  
                                        zo_perturb_+eps         0.00%       0.000us         0.00%       0.000us       0.000us     351.505ms         0.33%     351.505ms      35.151ms           0 b           0 b           0 b           0 b            10            --  
                                  zo_perturb_+eps_reset         0.00%       0.000us         0.00%       0.000us       0.000us     347.281ms         0.32%     347.281ms      34.728ms           0 b           0 b           0 b           0 b            10            --  
                                          aten::normal_         0.07%     114.561ms         0.11%     183.594ms       8.848us     278.542ms         0.26%     332.165ms      16.008us           0 b           0 b           0 b           0 b         20750            --  
                                              aten::mul         0.52%     905.611ms         0.80%        1.395s      32.562us     258.677ms         0.24%     311.760ms       7.277us     -51.68 Kb     -49.98 Kb     345.78 Gb     345.78 Gb         42842       187.252  
                                           aten::normal         0.04%      63.071ms         0.18%     313.546ms      15.191us       0.000us         0.00%     305.863ms      14.819us           0 b           0 b     197.94 Gb           0 b         20640            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     278.542ms         0.26%     278.542ms      13.424us           0 b           0 b           0 b           0 b         20750            --  
                                        zo_perturb_+eps         0.07%     128.223ms         0.20%     353.544ms      35.354ms       0.000us         0.00%     267.099ms      26.710ms           0 b      14.92 Kb           0 b    -193.86 Gb            10            --  
                                              zo_update         0.00%       0.000us         0.00%       0.000us       0.000us     266.775ms         0.25%     266.775ms      26.677ms           0 b           0 b           0 b           0 b            10            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     258.668ms         0.24%     258.668ms       7.161us           0 b           0 b           0 b           0 b         36120            --  
                                       cudaLaunchKernel         0.45%     783.176ms         0.45%     783.176ms       3.227us     242.462ms         0.23%     246.698ms       1.016us           0 b           0 b           0 b           0 b        242725            --  
