step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
61,5.61718750,5.60937500,7.81250000e-03,93.75000000,93.75000000,0.00000000e+00
62,6.46093750,6.45312500,7.81250000e-03,19.53125000,15.62500000,3.90625000e+00
63,7.51562500,7.50781250,7.81250000e-03,132.75000000,132.75000000,0.00000000e+00
64,6.48437500,6.49218750,7.81250000e-03,-308.50000000,-308.50000000,0.00000000e+00
65,7.73828125,7.73437500,3.90625000e-03,84.00000000,82.00000000,2.00000000e+00
66,5.35937500,5.35937500,0.00000000e+00,539.00000000,541.00000000,2.00000000e+00
67,4.62500000,4.63281250,7.81250000e-03,175.75000000,177.75000000,2.00000000e+00
68,6.40234375,6.39062500,1.17187500e-02,-121.06250000,-125.00000000,3.93750000e+00
69,7.06640625,7.06250000,3.90625000e-03,44.90625000,46.87500000,1.96875000e+00
70,5.83593750,5.84375000,7.81250000e-03,84.00000000,85.93750000,1.93750000e+00
71,4.25781250,4.26562500,7.81250000e-03,-82.00000000,-82.00000000,0.00000000e+00
72,7.12500000,7.11328125,1.17187500e-02,107.43750000,101.56250000,5.87500000e+00
73,6.68750000,6.69921875,1.17187500e-02,380.75000000,386.75000000,6.00000000e+00
74,6.22265625,6.22656250,3.90625000e-03,25.39062500,27.34375000,1.95312500e+00
75,6.63281250,6.64062500,7.81250000e-03,730.50000000,738.50000000,8.00000000e+00
76,9.40625000,9.39843750,7.81250000e-03,125.00000000,121.06250000,3.93750000e+00
77,7.77343750,7.78125000,7.81250000e-03,82.00000000,89.81250000,7.81250000e+00
78,4.81640625,4.81250000,3.90625000e-03,-130.87500000,-136.75000000,5.87500000e+00
79,4.21875000,4.23437500,1.56250000e-02,-148.37500000,-140.62500000,7.75000000e+00
80,5.43750000,5.44531250,7.81250000e-03,-199.25000000,-195.25000000,4.00000000e+00
81,5.51562500,5.52343750,7.81250000e-03,-3.90625000,1.95312500,5.85937500e+00
82,7.42578125,7.41796875,7.81250000e-03,23.43750000,19.53125000,3.90625000e+00
83,7.16796875,7.15625000,1.17187500e-02,105.43750000,105.43750000,0.00000000e+00
84,7.53906250,7.53125000,7.81250000e-03,375.00000000,377.00000000,2.00000000e+00
85,6.19531250,6.19531250,0.00000000e+00,289.00000000,291.00000000,2.00000000e+00
86,6.35937500,6.35937500,0.00000000e+00,-252.00000000,-246.12500000,5.87500000e+00
87,5.40625000,5.41796875,1.17187500e-02,-253.87500000,-240.25000000,1.36250000e+01
88,7.35937500,7.35156250,7.81250000e-03,-343.75000000,-351.50000000,7.75000000e+00
89,6.66406250,6.65625000,7.81250000e-03,263.75000000,257.75000000,6.00000000e+00
90,8.00000000,7.99218750,7.81250000e-03,19.53125000,19.53125000,0.00000000e+00
91,5.07031250,5.07421875,3.90625000e-03,-126.93750000,-126.93750000,0.00000000e+00
92,6.48437500,6.48828125,3.90625000e-03,238.25000000,236.37500000,1.87500000e+00
93,6.33593750,6.32421875,1.17187500e-02,-296.75000000,-298.75000000,2.00000000e+00
94,5.25000000,5.25000000,0.00000000e+00,82.00000000,62.50000000,1.95000000e+01
95,6.46875000,6.46875000,0.00000000e+00,-23.43750000,-27.34375000,3.90625000e+00
96,7.56250000,7.57031250,7.81250000e-03,-35.15625000,-31.25000000,3.90625000e+00
97,7.12890625,7.12109375,7.81250000e-03,-248.00000000,-253.87500000,5.87500000e+00
98,6.12500000,6.10937500,1.56250000e-02,267.50000000,259.75000000,7.75000000e+00
99,7.14843750,7.13281250,1.56250000e-02,181.62500000,175.75000000,5.87500000e+00
100,3.85156250,3.85937500,7.81250000e-03,-507.75000000,-504.00000000,3.75000000e+00
101,5.27734375,5.27343750,3.90625000e-03,-76.18750000,-78.12500000,1.93750000e+00
