================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     286.000us       100.00%        2.376s     237.559ms       0.000us         0.00%        1.857s     185.713ms           0 b           0 b      43.79 Mb           0 b            10            --  
                                 zo_gradient_estimation         0.07%       1.606ms        78.80%        1.872s     187.206ms       0.000us         0.00%        1.517s     151.731ms           0 b           0 b     195.35 Mb     -10.50 Kb            10            --  
                                           zo_forward_1         4.04%      95.861ms        16.90%     401.581ms      40.158ms       0.000us         0.00%      90.612ms       9.061ms           0 b        -616 b      97.51 Mb      -6.44 Gb            10            --  
                                           zo_forward_2         4.00%      94.967ms        16.54%     393.033ms      39.303ms       0.000us         0.00%      86.806ms       8.681ms           0 b        -612 b      97.84 Mb      -6.42 Gb            10            --  
                                  cudaStreamSynchronize        16.40%     389.580ms        16.40%     389.580ms     572.912us     739.000us         0.02%     739.000us       1.087us           0 b           0 b           0 b           0 b           680            --  
                                              aten::mul        10.22%     242.846ms        15.27%     362.726ms       9.862us     594.507ms        14.45%     620.666ms      16.875us     -44.27 Kb     -44.27 Kb     868.67 Gb     868.67 Gb         36780       466.360  
                                       zo_perturb_-2eps         5.38%     127.920ms        15.16%     360.090ms      36.009ms       0.000us         0.00%     446.393ms      44.639ms           0 b      13.17 Kb           0 b    -491.10 Gb            10            --  
                                        zo_perturb_+eps         5.46%     129.711ms        15.07%     357.894ms      35.789ms       0.000us         0.00%     446.328ms      44.633ms           0 b      12.07 Kb      32.00 Kb    -490.38 Gb            10            --  
                                  zo_perturb_+eps_reset         5.42%     128.725ms        15.03%     357.166ms      35.717ms       0.000us         0.00%     447.106ms      44.711ms           0 b      13.23 Kb     -32.00 Kb    -489.10 Gb            10            --  
                                           aten::normal         2.76%      65.460ms        12.98%     308.280ms      14.936us       0.000us         0.00%     606.696ms      29.394us           0 b           0 b     496.10 Gb           0 b         20640            --  
                                       cudaLaunchKernel        11.81%     280.675ms        11.81%     280.675ms       3.178us      60.748ms         1.48%      60.931ms       0.690us           0 b           0 b           0 b           0 b         88320            --  
                                    zo_parameter_update         0.09%       2.157ms        11.06%     262.746ms      26.275ms       0.000us         0.00%     339.406ms      33.941ms           0 b           0 b      32.00 Kb     -80.00 Kb            10            --  
                                              zo_update         4.04%      96.090ms        10.97%     260.589ms      26.059ms       0.000us         0.00%     339.406ms      33.941ms           0 b       5.62 Kb     112.00 Kb    -367.82 Gb            10            --  
                                        training_step_2         0.02%     514.000us        10.66%     253.256ms     253.256ms       0.000us         0.00%     270.479ms     270.479ms           0 b           0 b      12.27 Mb           0 b             1            --  
                                        training_step_8         0.02%     459.000us        10.06%     238.925ms     238.925ms       0.000us         0.00%     176.314ms     176.314ms           0 b           0 b      23.78 Mb           0 b             1            --  
                                        training_step_5         0.02%     503.000us        10.02%     238.032ms     238.032ms       0.000us         0.00%     176.042ms     176.042ms           0 b           0 b      18.41 Mb           0 b             1            --  
                                        training_step_7         0.04%     920.000us         9.98%     237.085ms     237.085ms       0.000us         0.00%     180.298ms     180.298ms           0 b           0 b    -113.24 Mb    -151.60 Mb             1            --  
                                        training_step_6         0.02%     437.000us         9.94%     236.092ms     236.092ms       0.000us         0.00%     175.863ms     175.863ms           0 b           0 b      21.48 Mb           0 b             1            --  
