================================================================================
DiZO PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clone         1.24%        1.066s         1.62%        1.394s      46.384us       0.000us         0.00%       3.647ms       0.121us      33.82 Mb       3.09 Mb     118.98 Mb     -18.00 Kb         30060            --  
                                              aten::add         1.12%     963.064ms         1.59%        1.372s      92.142us     155.543ms         0.35%     164.939ms      11.077us      -5.59 Kb        -688 b     186.04 Gb     186.04 Gb         14890       103.119  
                                    aten::empty_strided         1.30%        1.120s         1.34%        1.156s       7.188us       0.000us         0.00%       0.000us       0.000us      30.62 Mb      30.62 Mb     881.00 Kb     881.00 Kb        160790            --  
                                            aten::alias         0.34%     296.315ms         1.33%        1.141s      55.035us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb           0 b         20730            --  
                                              aten::bmm         0.52%     449.610ms         1.30%        1.119s     346.314us       3.048ms         0.01%       6.692ms       2.072us           0 b           0 b      -2.00 Kb           0 b          3230       116.361  
                                         aten::var_mean         0.48%     415.213ms         1.17%        1.008s     514.284us       0.000us         0.00%       0.000us       0.000us           0 b       7.05 Kb           0 b           0 b          1960            --  
                                              aten::mul         0.56%     479.285ms         0.88%     761.055ms      35.104us     304.620ms         0.69%     325.438ms      15.011us     -30.16 Kb     -28.66 Kb     434.08 Gb     434.08 Gb         21680       234.918  
                                       aten::contiguous         0.26%     219.442ms         0.68%     585.568ms     401.074us       0.000us         0.00%     216.000us       0.148us           0 b           0 b     118.15 Mb      39.89 Mb          1460            --  
                                          aten::softmax         0.07%      60.666ms         0.61%     522.829ms       1.089ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -23.00 Kb           0 b           480            --  
                                             aten::set_         0.54%     464.465ms         0.58%     502.895ms       5.387us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         93360            --  
