================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 10

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x64x...         0.00%       0.000us         0.00%       0.000us       0.000us      37.764ms         1.37%      37.764ms      13.113us           0 b           0 b           0 b           0 b          2880            --  
                                       cudaLaunchKernel        14.29%     287.234ms        14.29%     287.234ms       3.252us      28.578ms         1.03%      28.741ms       0.325us           0 b           0 b           0 b           0 b         88320            --  
                                            aten::copy_         1.08%      21.699ms         2.23%      44.807ms      10.823us       9.688ms         0.35%      11.420ms       2.758us         -12 b         -12 b           0 b           0 b          4140            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x12...         0.00%       0.000us         0.00%       0.000us       0.000us      10.840ms         0.39%      10.840ms      23.262us           0 b           0 b           0 b           0 b           466            --  
                                            aten::clone         0.44%       8.906ms         2.47%      49.660ms      18.669us       0.000us         0.00%       8.180ms       3.075us           0 b           0 b       1.42 Gb     -82.75 Mb          2660            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       8.035ms         0.29%       8.035ms       3.090us           0 b           0 b           0 b           0 b          2600            --  
                                       aten::layer_norm         0.30%       6.085ms         2.12%      42.708ms      32.852us       0.000us         0.00%       7.546ms       5.805us           0 b           0 b     645.16 Mb      -1.16 Mb          1300            --  
                                aten::native_layer_norm         0.82%      16.443ms         1.82%      36.623ms      28.172us       7.169ms         0.26%       7.546ms       5.805us           0 b           0 b     646.32 Mb           0 b          1300            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       7.169ms         0.26%       7.169ms       5.515us           0 b           0 b           0 b           0 b          1300            --  
                                  cudaStreamIsCapturing         0.17%       3.411ms         0.17%       3.411ms       0.165us       6.169ms         0.22%       6.169ms       0.298us           0 b           0 b           0 b           0 b         20681            --  
                                       aten::contiguous         0.26%       5.206ms         1.89%      37.986ms      19.381us       0.000us         0.00%       5.665ms       2.890us           0 b           0 b       1.11 Gb     133.01 Mb          1960            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize128x64...         0.00%       0.000us         0.00%       0.000us       0.000us       5.393ms         0.20%       5.393ms      16.853us           0 b           0 b           0 b           0 b           320            --  
                                              aten::bmm         3.08%      62.014ms         3.50%      70.391ms      54.993us       4.285ms         0.16%       5.159ms       4.030us           0 b           0 b     435.06 Mb     435.06 Mb          1280        19.713  
                                   cudaFuncSetAttribute         0.00%      40.000us         0.00%      40.000us       0.003us       4.976ms         0.18%       4.976ms       0.430us           0 b           0 b           0 b           0 b         11580            --  
sm90_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize64x128...         0.00%       0.000us         0.00%       0.000us       0.000us       4.210ms         0.15%       4.210ms      21.927us           0 b           0 b           0 b           0 b           192            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.010s
Self CUDA time total: 2.762s


--- Memory Usage ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::mul        11.42%     229.597ms        16.98%     341.366ms       9.281us     259.233ms         9.39%     272.299ms       7.403us     -49.44 Kb     -49.44 Kb     346.08 Gb     346.08 Gb         36780       185.778  
                                            aten::empty         5.03%     101.168ms         5.05%     101.486ms       3.632us       0.000us         0.00%       0.000us       0.000us      14.18 Kb      14.18 Kb     199.88 Gb     199.88 Gb         27940            --  
                                              aten::add         5.46%     109.857ms         8.27%     166.264ms       9.523us     129.085ms         4.67%     135.943ms       7.786us         -32 b         -32 b     148.93 Gb     148.93 Gb         17460        79.948  
                                              aten::sub         1.47%      29.472ms         2.15%      43.223ms       8.296us      42.138ms         1.53%      42.149ms       8.090us         -80 b         -80 b      49.40 Gb      49.40 Gb          5210            --  
                                            aten::addmm         5.40%     108.561ms         6.76%     135.970ms      35.409us      56.758ms         2.06%      65.074ms      16.946us           0 b           0 b       2.88 Gb       2.88 Gb          3840     10227.391  
                                        aten::clamp_min         0.31%       6.215ms         0.44%       8.824ms      13.787us       1.465ms         0.05%       1.622ms       2.534us           0 b           0 b       1.34 Gb       1.34 Gb           640            --  
                                              aten::bmm         3.08%      62.014ms         3.50%      70.391ms      54.993us       4.285ms         0.16%       5.159ms       4.030us           0 b           0 b     435.06 Mb     435.06 Mb          1280        19.713  
                                         aten::_softmax         0.25%       5.054ms         0.36%       7.144ms      11.162us       1.301ms         0.05%       1.489ms       2.327us           0 b           0 b     252.88 Mb     252.88 Mb           640            --  
                                               aten::mm         0.04%     856.000us         0.06%       1.256ms      62.800us       1.675ms         0.06%       1.780ms      89.000us           0 b           0 b     196.13 Mb     196.13 Mb            20       523.022  
                                     aten::_log_softmax         0.01%     221.000us         0.02%     324.000us      16.200us     232.000us         0.01%     233.000us      11.650us           0 b           0 b     191.88 Mb     191.88 Mb            20            --  
                                       aten::contiguous         0.26%       5.206ms         1.89%      37.986ms      19.381us       0.000us         0.00%       5.665ms       2.890us           0 b           0 b       1.11 Gb     133.01 Mb          1960            --  
                                    aten::empty_strided         0.29%       5.831ms         0.29%       5.831ms       4.106us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     118.21 Mb     118.21 Mb          1420            --  
                                          aten::maximum         0.27%       5.419ms         0.41%       8.217ms      12.839us       2.552ms         0.09%       2.937ms       4.589us           0 b           0 b     117.56 Mb     117.56 Mb           640            --  
                                       aten::empty_like         0.26%       5.212ms         0.81%      16.367ms       6.200us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.42 Gb      82.75 Mb          2640            --  
                                           aten::linear         1.42%      28.560ms         9.11%     183.181ms      47.456us       0.000us         0.00%      66.114ms      17.128us           0 b           0 b       3.08 Gb      27.92 Mb          3860            --  
                                          aten::resize_         0.01%     299.000us         0.01%     299.000us       3.737us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      19.85 Mb      19.85 Mb            80            --  
                                              aten::max         0.07%       1.415ms         0.45%       8.967ms      14.011us       0.000us         0.00%       2.714ms       4.241us           0 b           0 b     117.56 Mb       9.80 Mb           640            --  
                                          aten::softmax         0.05%     958.000us         0.40%       7.990ms      12.484us       0.000us         0.00%       1.459ms       2.280us           0 b           0 b     252.88 Mb       6.08 Mb           640            --  
                                               aten::to         0.12%       2.315ms         1.58%      31.691ms      21.127us       0.000us         0.00%       2.271ms       1.514us        -336 b        -224 b     118.19 Mb       4.82 Mb          1500            --  
