step,baseline_loss,flat_buffer_loss,loss_diff,baseline_grad,flat_buffer_grad,grad_diff
61,5.97656250,6.00000000,2.34375000e-02,-74.18750000,-70.31250000,3.87500000e+00
62,6.56250000,6.53125000,3.12500000e-02,25.39062500,3.90625000,2.14843750e+01
63,6.44921875,6.44140625,7.81250000e-03,-443.25000000,-447.25000000,4.00000000e+00
64,6.80468750,6.77343750,3.12500000e-02,-293.00000000,-314.50000000,2.15000000e+01
65,7.42968750,7.43750000,7.81250000e-03,-339.75000000,-336.00000000,3.75000000e+00
66,5.51562500,5.52343750,7.81250000e-03,-168.00000000,-164.00000000,4.00000000e+00
67,4.34375000,4.33593750,7.81250000e-03,-160.12500000,-162.12500000,2.00000000e+00
68,6.71093750,6.69531250,1.56250000e-02,224.62500000,234.37500000,9.75000000e+00
69,6.60156250,6.59375000,7.81250000e-03,-195.25000000,-203.12500000,7.87500000e+00
70,5.22656250,5.21093750,1.56250000e-02,-218.75000000,-230.50000000,1.17500000e+01
71,4.75390625,4.72656250,2.73437500e-02,459.00000000,446.25000000,1.27500000e+01
72,5.68750000,5.67578125,1.17187500e-02,-103.50000000,-103.50000000,0.00000000e+00
73,6.82812500,6.82812500,0.00000000e+00,252.00000000,257.75000000,5.75000000e+00
74,6.33593750,6.33593750,0.00000000e+00,-15.62500000,-15.62500000,0.00000000e+00
75,7.14843750,7.14453125,3.90625000e-03,224.62500000,224.62500000,0.00000000e+00
76,11.83593750,11.83593750,0.00000000e+00,347.75000000,339.75000000,8.00000000e+00
77,8.07812500,8.06250000,1.56250000e-02,-3.90625000,-15.62500000,1.17187500e+01
78,4.07031250,4.07812500,7.81250000e-03,-101.56250000,-89.81250000,1.17500000e+01
79,4.80859375,4.81250000,3.90625000e-03,232.37500000,234.37500000,2.00000000e+00
80,5.30468750,5.33593750,3.12500000e-02,365.25000000,390.50000000,2.52500000e+01
81,5.73046875,5.74218750,1.17187500e-02,-490.25000000,-488.25000000,2.00000000e+00
82,7.76953125,7.76953125,0.00000000e+00,181.62500000,181.62500000,0.00000000e+00
83,6.09375000,6.09375000,0.00000000e+00,-183.62500000,-191.37500000,7.75000000e+00
84,6.78125000,6.75000000,3.12500000e-02,345.75000000,336.00000000,9.75000000e+00
85,5.46093750,5.47265625,1.17187500e-02,78.12500000,84.00000000,5.87500000e+00
86,6.17187500,6.19531250,2.34375000e-02,-31.25000000,-21.48437500,9.76562500e+00
87,4.65625000,4.66796875,1.17187500e-02,-185.50000000,-181.62500000,3.87500000e+00
88,6.69140625,6.70312500,1.17187500e-02,-162.12500000,-146.50000000,1.56250000e+01
89,6.50781250,6.49609375,1.17187500e-02,216.75000000,207.00000000,9.75000000e+00
90,7.26562500,7.23828125,2.73437500e-02,-58.59375000,-70.31250000,1.17187500e+01
91,4.43750000,4.43750000,0.00000000e+00,-261.75000000,-263.75000000,2.00000000e+00
92,6.30859375,6.30859375,0.00000000e+00,291.00000000,285.25000000,5.75000000e+00
93,6.76562500,6.77734375,1.17187500e-02,832.00000000,842.00000000,1.00000000e+01
94,5.07812500,5.05468750,2.34375000e-02,719.50000000,723.50000000,4.00000000e+00
95,7.22656250,7.22656250,0.00000000e+00,273.50000000,265.50000000,8.00000000e+00
96,7.24218750,7.24609375,3.90625000e-03,39.06250000,33.18750000,5.87500000e+00
97,6.57031250,6.55468750,1.56250000e-02,-171.87500000,-179.62500000,7.75000000e+00
98,5.41406250,5.40234375,1.17187500e-02,-246.12500000,-252.00000000,5.87500000e+00
99,6.66015625,6.66015625,0.00000000e+00,443.25000000,443.25000000,0.00000000e+00
100,4.12109375,4.11718750,3.90625000e-03,-115.25000000,-121.06250000,5.81250000e+00
101,5.08593750,5.07031250,1.56250000e-02,168.00000000,160.12500000,7.87500000e+00
102,5.60937500,5.60156250,7.81250000e-03,-93.75000000,-103.50000000,9.75000000e+00
103,4.69921875,4.69531250,3.90625000e-03,-56.62500000,-58.59375000,1.96875000e+00
104,4.52343750,4.52343750,0.00000000e+00,-160.12500000,-158.25000000,1.87500000e+00
105,4.80468750,4.80468750,0.00000000e+00,394.50000000,394.50000000,0.00000000e+00
106,5.71484375,5.69531250,1.95312500e-02,250.00000000,242.12500000,7.87500000e+00
107,8.18750000,8.17968750,7.81250000e-03,351.50000000,338.00000000,1.35000000e+01
108,6.17187500,6.18750000,1.56250000e-02,-109.37500000,-101.56250000,7.81250000e+00
109,6.78125000,6.78515625,3.90625000e-03,187.50000000,195.25000000,7.75000000e+00
110,7.55468750,7.54687500,7.81250000e-03,285.25000000,277.25000000,8.00000000e+00
111,6.53515625,6.53906250,3.90625000e-03,636.50000000,633.00000000,3.50000000e+00
112,6.78125000,6.77343750,7.81250000e-03,85.93750000,84.00000000,1.93750000e+00
113,6.74218750,6.75000000,7.81250000e-03,-11.71875000,-13.67187500,1.95312500e+00
114,7.36328125,7.35546875,7.81250000e-03,185.50000000,179.62500000,5.87500000e+00
115,7.52734375,7.54687500,1.95312500e-02,-72.25000000,-64.43750000,7.81250000e+00
116,4.64453125,4.64843750,3.90625000e-03,-806.50000000,-812.50000000,6.00000000e+00
117,4.23437500,4.23437500,0.00000000e+00,-132.75000000,-132.75000000,0.00000000e+00
118,7.38281250,7.43750000,5.46875000e-02,765.50000000,808.50000000,4.30000000e+01
119,6.50000000,6.39062500,1.09375000e-01,238.25000000,175.75000000,6.25000000e+01
120,5.38281250,5.38281250,0.00000000e+00,93.75000000,111.31250000,1.75625000e+01
121,3.83203125,3.83203125,0.00000000e+00,-103.50000000,-101.56250000,1.93750000e+00
122,6.03906250,6.03125000,7.81250000e-03,269.50000000,261.75000000,7.75000000e+00
123,6.24218750,6.21093750,3.12500000e-02,3.90625000,-9.76562500,1.36718750e+01
124,6.03906250,6.03906250,0.00000000e+00,-125.00000000,-121.06250000,3.93750000e+00
125,6.47265625,6.48828125,1.56250000e-02,263.75000000,267.50000000,3.75000000e+00
126,10.85937500,10.85937500,0.00000000e+00,-468.75000000,-484.25000000,1.55000000e+01
127,7.67578125,7.66406250,1.17187500e-02,-220.75000000,-230.50000000,9.75000000e+00
128,4.14453125,4.17187500,2.73437500e-02,19.53125000,35.15625000,1.56250000e+01
129,4.27734375,4.28125000,3.90625000e-03,-91.81250000,-89.81250000,2.00000000e+00
130,4.33203125,4.31250000,1.95312500e-02,-396.50000000,-400.50000000,4.00000000e+00
131,5.45312500,5.46093750,7.81250000e-03,-613.50000000,-547.00000000,6.65000000e+01
132,7.05468750,7.05468750,0.00000000e+00,-64.43750000,-66.37500000,1.93750000e+00
133,6.27734375,6.26562500,1.17187500e-02,121.06250000,113.25000000,7.81250000e+00
134,6.76953125,6.77343750,3.90625000e-03,150.37500000,156.25000000,5.87500000e+00
135,5.59375000,5.59375000,0.00000000e+00,234.37500000,236.37500000,2.00000000e+00
136,6.52734375,6.45312500,7.42187500e-02,263.75000000,226.50000000,3.72500000e+01
137,5.49218750,5.50000000,7.81250000e-03,621.00000000,627.00000000,6.00000000e+00
138,6.71093750,6.70312500,7.81250000e-03,-406.25000000,-406.25000000,0.00000000e+00
139,6.80078125,6.79296875,7.81250000e-03,287.00000000,291.00000000,4.00000000e+00
140,7.64062500,7.61718750,2.34375000e-02,363.25000000,339.75000000,2.35000000e+01
141,4.52734375,4.52343750,3.90625000e-03,17.57812500,11.71875000,5.85937500e+00
142,5.67968750,5.68750000,7.81250000e-03,-76.18750000,-66.37500000,9.81250000e+00
143,5.03515625,5.04687500,1.17187500e-02,-76.18750000,-66.37500000,9.81250000e+00
144,4.11718750,4.13281250,1.56250000e-02,-44.90625000,-29.29687500,1.56093750e+01
145,6.55859375,6.57812500,1.95312500e-02,-304.75000000,-300.75000000,4.00000000e+00
146,7.46093750,7.46093750,0.00000000e+00,226.50000000,226.50000000,0.00000000e+00
147,6.64453125,6.64843750,3.90625000e-03,-46.87500000,-42.96875000,3.90625000e+00
148,5.50000000,5.48828125,1.17187500e-02,-207.00000000,-209.00000000,2.00000000e+00
149,6.26171875,6.25781250,3.90625000e-03,113.25000000,95.68750000,1.75625000e+01
150,3.92187500,3.92968750,7.81250000e-03,-308.50000000,-308.50000000,0.00000000e+00
151,5.13281250,5.14843750,1.56250000e-02,318.25000000,318.25000000,0.00000000e+00
152,5.77343750,5.74218750,3.12500000e-02,187.50000000,175.75000000,1.17500000e+01
153,4.39062500,4.39843750,7.81250000e-03,-218.75000000,-212.87500000,5.87500000e+00
154,4.59375000,4.59765625,3.90625000e-03,3.90625000,5.85937500,1.95312500e+00
