================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-6.7b
================================================================================

Model: facebook/opt-6.7b
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: False

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     160.000us        86.74%        1.575s     314.931ms       0.000us         0.00%        1.048s     209.672ms       3.12 Kb           0 b       3.00 Kb           0 b             5            --  
                                         optimizer_step         0.09%       1.655ms        36.32%     659.371ms     131.874ms       0.000us         0.00%     725.961ms     145.192ms           0 b           0 b    -124.03 Gb           0 b             5            --  
                              Optimizer.step#AdamW.step         1.74%      31.616ms        36.05%     654.506ms     130.901ms       0.000us         0.00%     725.961ms     145.192ms           0 b         -20 b           0 b    -124.03 Gb             5            --  
                                       cudaLaunchKernel        33.45%     607.191ms        33.45%     607.191ms      27.862us      36.729ms         1.46%      36.729ms       1.685us           0 b           0 b           0 b           0 b         21793            --  
                                  cudaStreamSynchronize        23.23%     421.802ms        23.23%     421.802ms       2.410ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           175            --  
                                        training_step_7         0.04%     719.000us        21.31%     386.852ms     386.852ms       0.000us         0.00%     230.274ms     230.274ms       1.38 Kb           0 b       2.00 Kb           0 b             1            --  
                                           forward_pass         2.58%      46.750ms        17.42%     316.312ms      63.262ms       0.000us         0.00%     322.385ms      64.477ms       1.25 Kb        -357 b       3.51 Gb      -3.95 Gb             5            --  
                                        training_step_3         0.03%     601.000us        16.85%     305.920ms     305.920ms       0.000us         0.00%     233.702ms     233.702ms         704 b           0 b           0 b           0 b             1            --  
                                        training_step_6         0.05%     906.000us        16.40%     297.807ms     297.807ms       0.000us         0.00%     195.556ms     195.556ms         256 b           0 b           0 b           0 b             1            --  
                                        training_step_5         0.03%     633.000us        16.31%     296.046ms     296.046ms       0.000us         0.00%     194.703ms     194.703ms         384 b           0 b           0 b           0 b             1            --  
                                          backward_pass        15.90%     288.571ms        16.01%     290.672ms      58.134ms       0.000us         0.00%       2.000us       0.400us      -1.25 Kb      -1.25 Kb     120.52 Gb     120.52 Gb             5            --  
                                        training_step_4         0.03%     552.000us        15.86%     287.868ms     287.868ms       0.000us         0.00%     194.125ms     194.125ms         448 b           0 b       1.00 Kb           0 b             1            --  
                                             aten::item         0.10%       1.822ms        14.02%     254.493ms      47.569us       0.000us         0.00%      12.000us       0.002us          -1 b          -1 b           0 b           0 b          5350            --  
                              aten::_local_scalar_dense         0.02%     295.000us        13.92%     252.672ms      47.228us      12.000us         0.00%      12.000us       0.002us           0 b           0 b           0 b           0 b          5350            --  
                                            aten::copy_         0.54%       9.746ms        10.39%     188.635ms     110.962us       4.436ms         0.18%       5.268ms       3.099us           0 b           0 b           0 b           0 b          1700            --  
                                               aten::to         0.03%     582.000us         9.75%     176.945ms     459.597us       0.000us         0.00%     185.000us       0.481us         600 b          -4 b     132.50 Kb       3.00 Kb           385            --  
                                         aten::_to_copy         0.35%       6.383ms         9.72%     176.384ms     511.258us       0.000us         0.00%      31.000us       0.090us         620 b         204 b     132.50 Kb           0 b           345            --  
                                    aten::_foreach_mul_         0.59%      10.621ms         7.72%     140.188ms      14.019ms     148.355ms         5.88%     148.355ms      14.835ms           0 b           0 b           0 b           0 b            10            --  
                                    aten::_foreach_add_         0.46%       8.352ms         5.62%     102.070ms      10.207ms      74.294ms         2.95%      74.294ms       7.429ms           0 b           0 b           0 b           0 b            10            --  
                                    aten::_foreach_div_         0.39%       7.048ms         5.12%      92.940ms      18.588ms      83.255ms         3.30%      83.255ms      16.651ms           0 b           0 b           0 b           0 b             5            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.59%      10.721ms         5.04%      91.510ms      95.323us       0.000us         0.00%     379.798ms     395.623us           0 b           0 b     119.26 Gb      -3.24 Gb           960            --  
                                aten::_foreach_addcmul_         0.28%       5.125ms         4.74%      86.112ms      17.222ms     103.714ms         4.11%     103.714ms      20.743ms           0 b           0 b           0 b           0 b             5            --  
                                aten::_foreach_addcdiv_         0.30%       5.425ms         4.52%      82.090ms      16.418ms     136.710ms         5.42%     136.710ms      27.342ms           0 b           0 b           0 b           0 b             5            --  
                                    aten::_foreach_sqrt         0.43%       7.888ms         4.38%      79.569ms      15.914ms      76.944ms         3.05%      76.944ms      15.389ms           0 b           0 b     124.03 Gb           0 b             5            --  
                                         AddmmBackward0         0.61%      11.151ms         3.56%      64.577ms      67.268us       0.000us         0.00%     373.672ms     389.242us           0 b           0 b     122.49 Gb           0 b           960            --  
                                           data_loading         0.01%     218.000us         2.87%      52.031ms      10.406ms       0.000us         0.00%       0.000us       0.000us       3.12 Kb      -5.06 Kb       3.00 Kb      -9.00 Kb             5            --  
                                           aten::linear         0.43%       7.747ms         2.81%      51.033ms      52.884us       0.000us         0.00%     286.742ms     297.142us           0 b           0 b       2.45 Gb      15.38 Mb           965            --  
                                               aten::mm         1.86%      33.809ms         2.78%      50.396ms      26.044us     391.053ms        15.51%     391.053ms     202.095us           0 b           0 b     126.43 Gb     126.43 Gb          1935  14150771.147  
                                   aten::_foreach_lerp_         0.18%       3.282ms         2.11%      38.218ms       7.644ms     102.689ms         4.07%     102.689ms      20.538ms           0 b           0 b           0 b           0 b             5            --  
     autograd::engine::evaluate_function: ViewBackward0         0.46%       8.372ms         2.09%      37.878ms      12.419us       0.000us         0.00%       3.110ms       1.020us           0 b           0 b    -668.53 Mb      -2.11 Gb          3050            --  
                                            aten::addmm         1.50%      27.208ms         1.95%      35.417ms      36.893us     247.055ms         9.80%     283.782ms     295.606us           0 b           0 b       2.35 Gb       2.35 Gb           960   6751688.589  
                                          aten::reshape         0.44%       7.928ms         1.52%      27.597ms       6.586us       0.000us         0.00%       3.324ms       0.793us           0 b           0 b       1.35 Gb           0 b          4190            --  
                                            aten::clone         0.27%       4.920ms         1.46%      26.564ms      20.356us       0.000us         0.00%       4.722ms       3.618us           0 b           0 b       2.23 Gb    -205.12 Mb          1305            --  
                                              aten::bmm         1.03%      18.657ms         1.35%      24.470ms      25.490us       5.485ms         0.22%       5.839ms       6.082us           0 b           0 b       1.27 Gb       1.27 Gb           960     27084.718  
                                          ViewBackward0         0.32%       5.758ms         1.29%      23.348ms       7.655us       0.000us         0.00%       1.917ms       0.629us           0 b           0 b       1.08 Gb     138.44 Mb          3050            --  
      autograd::engine::evaluate_function: BmmBackward0         0.13%       2.352ms         1.21%      22.035ms      68.859us       0.000us         0.00%       3.563ms      11.134us           0 b           0 b    -220.06 Mb      -1.17 Gb           320            --  
                                           BmmBackward0         0.19%       3.489ms         1.07%      19.477ms      60.866us       0.000us         0.00%       3.491ms      10.909us           0 b           0 b     960.92 Mb      12.29 Mb           320            --  
autograd::engine::evaluate_function: NativeLayerNorm...         0.24%       4.317ms         1.00%      18.126ms      55.772us       0.000us         0.00%       5.729ms      17.628us           0 b           0 b      -1.07 Gb      -2.21 Gb           325            --  
                                                aten::t         0.43%       7.806ms         0.89%      16.218ms       3.361us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4825            --  
                                            aten::empty         0.87%      15.755ms         0.87%      15.755ms       3.833us       0.000us         0.00%       0.000us       0.000us       7.85 Kb       7.85 Kb       8.14 Gb       8.14 Gb          4110            --  
                                              aten::sum         0.68%      12.272ms         0.85%      15.503ms      16.149us       6.126ms         0.24%       6.126ms       6.381us           0 b           0 b      22.50 Mb      22.50 Mb           960            --  
                                        aten::transpose         0.74%      13.386ms         0.82%      14.849ms       2.102us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7065            --  
autograd::engine::evaluate_function: torch::autograd...         0.36%       6.613ms         0.81%      14.664ms       5.684us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2580            --  
                                       aten::layer_norm         0.08%       1.477ms         0.78%      14.100ms      43.385us       0.000us         0.00%       2.503ms       7.702us           0 b           0 b     544.94 Mb      35.09 Mb           325            --  
                                aten::native_layer_norm         0.34%       6.245ms         0.74%      13.363ms      41.117us       2.689ms         0.11%       2.690ms       8.277us           0 b           0 b     544.94 Mb           0 b           325            --  
autograd::engine::evaluate_function: MaximumBackward...         0.07%       1.192ms         0.72%      13.112ms      81.950us       0.000us         0.00%       1.445ms       9.031us           0 b           0 b     -71.52 Mb    -166.05 Mb           160            --  
                                       aten::empty_like         0.25%       4.588ms         0.68%      12.413ms       5.480us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.49 Gb     282.42 Mb          2265            --  
                                              aten::add         0.49%       8.834ms         0.68%      12.256ms      12.506us       5.037ms         0.20%      25.913ms      26.442us           0 b           0 b       5.22 Gb       5.22 Gb           980      1392.759  
