================================================================================
DiZO PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.01%     112.000us       100.00%     928.374ms     185.675ms       0.000us         0.00%     394.848ms      78.970ms           0 b           0 b     -38.87 Mb           0 b             5            --  
                                 zo_gradient_estimation         0.08%     755.000us        86.74%     805.242ms     161.048ms       0.000us         0.00%     320.602ms      64.120ms           0 b           0 b      74.91 Mb      -5.00 Kb             5            --  
                                        training_step_2         0.04%     414.000us        20.38%     189.218ms     189.218ms       0.000us         0.00%      78.608ms      78.608ms           0 b           0 b      12.77 Mb           0 b             1            --  
                                        training_step_3         0.04%     408.000us        20.08%     186.460ms     186.460ms       0.000us         0.00%      78.467ms      78.467ms           0 b           0 b       8.44 Mb           0 b             1            --  
                                        training_step_6         0.09%     809.000us        19.90%     184.752ms     184.752ms       0.000us         0.00%      79.275ms      79.275ms           0 b           0 b     -92.30 Mb    -113.78 Mb             1            --  
                                        training_step_4         0.05%     435.000us        19.82%     184.035ms     184.035ms       0.000us         0.00%      79.200ms      79.200ms           0 b           0 b      13.81 Mb           0 b             1            --  
                                        training_step_5         0.05%     443.000us        19.80%     183.797ms     183.797ms       0.000us         0.00%      79.298ms      79.298ms           0 b           0 b      18.41 Mb           0 b             1            --  
                                       zo_perturb_-2eps         6.30%      58.467ms        18.41%     170.951ms      34.190ms       0.000us         0.00%      92.601ms      18.520ms           0 b       5.41 Kb           0 b     -90.83 Gb             5            --  
                                           aten::normal         3.72%      34.539ms        18.40%     170.848ms      16.555us       0.000us         0.00%     130.508ms      12.646us           0 b           0 b      98.39 Gb    -412.75 Mb         10320            --  
                                        zo_perturb_+eps         6.40%      59.379ms        18.37%     170.567ms      34.113ms       0.000us         0.00%      92.629ms      18.526ms           0 b       5.27 Kb           0 b     -88.96 Gb             5            --  
                                  zo_perturb_+eps_reset         6.41%      59.502ms        18.36%     170.478ms      34.096ms       0.000us         0.00%      92.508ms      18.502ms           0 b       5.28 Kb           0 b     -90.29 Gb             5            --  
                                              aten::mul        11.04%     102.473ms        16.78%     155.747ms       8.469us     129.758ms         9.95%     129.758ms       7.056us     -18.89 Kb     -18.89 Kb     172.99 Gb     172.99 Gb         18390        92.869  
                                           zo_forward_1         4.76%      44.186ms        16.03%     148.790ms      29.758ms       0.000us         0.00%      21.430ms       4.286ms           0 b        -428 b      37.70 Mb      -1.60 Gb             5            --  
                                           zo_forward_2         4.62%      42.862ms        15.44%     143.365ms      28.673ms       0.000us         0.00%      21.414ms       4.283ms           0 b        -320 b      37.21 Mb      -1.60 Gb             5            --  
                                       cudaLaunchKernel        14.56%     135.128ms        14.56%     135.128ms       3.060us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         44160            --  
                                    zo_parameter_update         0.10%     952.000us        12.79%     118.764ms      23.753ms       0.000us         0.00%      74.236ms      14.847ms           0 b           0 b           0 b     -25.00 Kb             5            --  
                                              zo_update         4.22%      39.145ms        12.69%     117.812ms      23.562ms       0.000us         0.00%      74.236ms      14.847ms           0 b       2.90 Kb      25.00 Kb     -64.19 Gb             5            --  
                                          aten::normal_         7.36%      68.296ms        11.33%     105.225ms      10.196us     138.711ms        10.64%     138.711ms      13.441us           0 b           0 b           0 b           0 b         10320            --  
