================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 1
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::native_layer_norm         0.59%      11.813ms         1.21%      24.029ms      29.665us       7.455ms         0.21%       7.455ms       9.204us           0 b           0 b     130.48 Mb     -36.50 Kb           810            --  
                                       aten::contiguous         0.13%       2.645ms         1.14%      22.808ms      19.007us       0.000us         0.00%       2.648ms       2.207us           0 b           0 b     192.19 Mb      21.63 Mb          1200            --  
                                              aten::bmm         0.61%      12.078ms         0.82%      16.425ms      20.531us       2.728ms         0.08%       2.728ms       3.410us           0 b           0 b      75.39 Mb      75.39 Mb           800         3.018  
                                    cudaLaunchKernelExC         0.65%      12.959ms         0.65%      12.959ms       5.377us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2410            --  
                                          aten::reshape         0.17%       3.425ms         0.58%      11.591ms       4.770us       0.000us         0.00%     925.000us       0.381us           0 b           0 b      64.06 Mb           0 b          2430            --  
                                                aten::t         0.26%       5.216ms         0.52%      10.379ms       4.307us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2410            --  
                                        aten::transpose         0.41%       8.224ms         0.46%       9.084ms       2.060us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4410            --  
                                       aten::empty_like         0.17%       3.400ms         0.43%       8.621ms       5.322us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     256.27 Mb      30.79 Mb          1620            --  
                                             aten::relu         0.05%       1.074ms         0.34%       6.693ms      16.733us       0.000us         0.00%     799.000us       1.998us           0 b           0 b     256.25 Mb           0 b           400            --  
                                              aten::max         0.04%     831.000us         0.30%       6.020ms      15.050us       0.000us         0.00%       1.529ms       3.822us           0 b           0 b      11.33 Mb     437.00 Kb           400            --  
                                        aten::clamp_min         0.19%       3.842ms         0.28%       5.619ms      14.047us     799.000us         0.02%     799.000us       1.998us           0 b           0 b     256.25 Mb     256.25 Mb           400            --  
                                          aten::maximum         0.17%       3.345ms         0.27%       5.465ms      13.662us       1.599ms         0.04%       1.599ms       3.998us           0 b           0 b      11.33 Mb      11.33 Mb           400            --  
                                  cudaFuncGetAttributes         0.26%       5.220ms         0.26%       5.220ms       2.138us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2442            --  
                                          aten::softmax         0.03%     660.000us         0.24%       4.826ms      12.065us       0.000us         0.00%     713.000us       1.782us           0 b           0 b      22.58 Mb     364.50 Kb           400            --  
                                         aten::_softmax         0.14%       2.867ms         0.21%       4.252ms      10.630us     725.000us         0.02%     725.000us       1.812us           0 b           0 b      22.58 Mb      22.58 Mb           400            --  
                                        cudaMemcpyAsync         0.18%       3.662ms         0.18%       3.662ms       8.138us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           450            --  
                                    aten::empty_strided         0.16%       3.247ms         0.16%       3.247ms       3.732us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      11.57 Mb      11.57 Mb           870            --  
                                        cudaMemsetAsync         0.10%       1.973ms         0.10%       1.973ms       4.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           410            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.994s
Self CUDA time total: 3.597s


--- CUDA Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
