================================================================================
DiZO PROFILING SUMMARY - facebook/opt-13b
================================================================================

Model: facebook/opt-13b
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clone         0.26%       5.345ms         1.47%      29.837ms      18.083us       0.000us         0.00%       4.892ms       2.965us           0 b           0 b       1.26 Gb    -160.77 Mb          1650            --  
                                       aten::layer_norm         0.10%       2.072ms         1.30%      26.496ms      32.711us       0.000us         0.00%       7.488ms       9.244us           0 b           0 b     634.77 Mb    -594.50 Kb           810            --  
                                aten::native_layer_norm         0.56%      11.341ms         1.20%      24.424ms      30.153us       7.488ms         0.21%       7.488ms       9.244us           0 b           0 b     635.35 Mb     -37.00 Kb           810            --  
                                       aten::contiguous         0.17%       3.492ms         1.12%      22.865ms      18.742us       0.000us         0.00%       3.344ms       2.741us           0 b           0 b     985.38 Mb     153.23 Mb          1220            --  
                                  cudaFuncGetAttributes         0.89%      18.104ms         0.89%      18.104ms       7.386us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2451            --  
                                    cudaLaunchKernelExC         0.62%      12.571ms         0.62%      12.571ms       5.216us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2410            --  
                                          aten::reshape         0.18%       3.660ms         0.57%      11.613ms       4.779us       0.000us         0.00%       1.200ms       0.494us           0 b           0 b     306.73 Mb           0 b          2430            --  
                                                aten::t         0.25%       4.997ms         0.49%       9.989ms       4.145us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2410            --  
                                        aten::transpose         0.41%       8.371ms         0.44%       8.988ms       2.038us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4410            --  
                                       aten::empty_like         0.18%       3.616ms         0.43%       8.719ms       5.316us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.26 Gb     160.77 Mb          1640            --  
                                             aten::relu         0.05%       1.057ms         0.38%       7.801ms      19.503us       0.000us         0.00%       1.294ms       3.235us           0 b           0 b       1.19 Gb           0 b           400            --  
                                        aten::clamp_min         0.17%       3.482ms         0.33%       6.744ms      16.860us       1.294ms         0.04%       1.294ms       3.235us           0 b           0 b       1.19 Gb       1.19 Gb           400            --  
                                              aten::max         0.05%     927.000us         0.28%       5.737ms      14.342us       0.000us         0.00%       1.501ms       3.752us           0 b           0 b      50.35 Mb       3.28 Mb           400            --  
                                          aten::maximum         0.16%       3.325ms         0.26%       5.220ms      13.050us       1.605ms         0.04%       1.605ms       4.013us           0 b           0 b      50.35 Mb      50.35 Mb           400            --  
                                          aten::softmax         0.04%     725.000us         0.23%       4.749ms      11.873us       0.000us         0.00%     794.000us       1.985us           0 b           0 b     100.66 Mb     722.50 Kb           400            --  
