========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-350m
Total trainable parameters: 388

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
265    model.decoder.layers.16.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
266    model.decoder.layers.16.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
267    model.decoder.layers.16.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
268    model.decoder.layers.16.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
269    model.decoder.layers.16.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
270    model.decoder.layers.16.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
271    model.decoder.layers.16.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
272    model.decoder.layers.16.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
273    model.decoder.layers.16.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
274    model.decoder.layers.16.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
275    model.decoder.layers.16.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
276    model.decoder.layers.16.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
277    model.decoder.layers.17.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
278    model.decoder.layers.17.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
279    model.decoder.layers.17.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
280    model.decoder.layers.17.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
281    model.decoder.layers.17.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
282    model.decoder.layers.17.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
283    model.decoder.layers.17.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
284    model.decoder.layers.17.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
285    model.decoder.layers.17.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
286    model.decoder.layers.17.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
287    model.decoder.layers.17.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
288    model.decoder.layers.17.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
289    model.decoder.layers.17.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
290    model.decoder.layers.17.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
291    model.decoder.layers.17.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
292    model.decoder.layers.17.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
293    model.decoder.layers.18.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
294    model.decoder.layers.18.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
295    model.decoder.layers.18.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
296    model.decoder.layers.18.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
297    model.decoder.layers.18.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
298    model.decoder.layers.18.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
299    model.decoder.layers.18.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
300    model.decoder.layers.18.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
301    model.decoder.layers.18.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
302    model.decoder.layers.18.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
303    model.decoder.layers.18.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
304    model.decoder.layers.18.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
305    model.decoder.layers.18.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
306    model.decoder.layers.18.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
307    model.decoder.layers.18.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
308    model.decoder.layers.18.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
309    model.decoder.layers.19.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
310    model.decoder.layers.19.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
311    model.decoder.layers.19.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
312    model.decoder.layers.19.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
313    model.decoder.layers.19.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
314    model.decoder.layers.19.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
315    model.decoder.layers.19.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
316    model.decoder.layers.19.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
317    model.decoder.layers.19.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
318    model.decoder.layers.19.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
319    model.decoder.layers.19.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
320    model.decoder.layers.19.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
321    model.decoder.layers.19.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
322    model.decoder.layers.19.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
323    model.decoder.layers.19.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
324    model.decoder.layers.19.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
325    model.decoder.layers.20.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
326    model.decoder.layers.20.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
327    model.decoder.layers.20.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
328    model.decoder.layers.20.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
329    model.decoder.layers.20.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
330    model.decoder.layers.20.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
331    model.decoder.layers.20.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
332    model.decoder.layers.20.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
333    model.decoder.layers.20.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
334    model.decoder.layers.20.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
335    model.decoder.layers.20.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
336    model.decoder.layers.20.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
337    model.decoder.layers.20.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
338    model.decoder.layers.20.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
339    model.decoder.layers.20.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
340    model.decoder.layers.20.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
341    model.decoder.layers.21.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
342    model.decoder.layers.21.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
343    model.decoder.layers.21.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
344    model.decoder.layers.21.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
345    model.decoder.layers.21.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
346    model.decoder.layers.21.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
347    model.decoder.layers.21.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
348    model.decoder.layers.21.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
349    model.decoder.layers.21.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
350    model.decoder.layers.21.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
351    model.decoder.layers.21.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
352    model.decoder.layers.21.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
353    model.decoder.layers.21.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
354    model.decoder.layers.21.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
355    model.decoder.layers.21.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
356    model.decoder.layers.21.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
357    model.decoder.layers.22.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
358    model.decoder.layers.22.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
359    model.decoder.layers.22.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
360    model.decoder.layers.22.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
361    model.decoder.layers.22.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
362    model.decoder.layers.22.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
363    model.decoder.layers.22.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
364    model.decoder.layers.22.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
365    model.decoder.layers.22.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
366    model.decoder.layers.22.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
367    model.decoder.layers.22.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
368    model.decoder.layers.22.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
369    model.decoder.layers.22.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
370    model.decoder.layers.22.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
371    model.decoder.layers.22.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
372    model.decoder.layers.22.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
373    model.decoder.layers.23.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
374    model.decoder.layers.23.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
375    model.decoder.layers.23.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
376    model.decoder.layers.23.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
377    model.decoder.layers.23.self_attn.q_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
378    model.decoder.layers.23.self_attn.q_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
379    model.decoder.layers.23.self_attn.out_proj.weight            (1024, 1024)                    1,048,576       2.0000 torch.float16  
380    model.decoder.layers.23.self_attn.out_proj.bias              (1024,)                             1,024       0.0020 torch.float16  
381    model.decoder.layers.23.self_attn_layer_norm.weight          (1024,)                             1,024       0.0020 torch.float16  
382    model.decoder.layers.23.self_attn_layer_norm.bias            (1024,)                             1,024       0.0020 torch.float16  
383    model.decoder.layers.23.fc1.weight                           (4096, 1024)                    4,194,304       8.0000 torch.float16  
384    model.decoder.layers.23.fc1.bias                             (4096,)                             4,096       0.0078 torch.float16  
385    model.decoder.layers.23.fc2.weight                           (1024, 4096)                    4,194,304       8.0000 torch.float16  
386    model.decoder.layers.23.fc2.bias                             (1024,)                             1,024       0.0020 torch.float16  
387    model.decoder.layers.23.final_layer_norm.weight              (1024,)                             1,024       0.0020 torch.float16  
388    model.decoder.layers.23.final_layer_norm.bias                (1024,)                             1,024       0.0020 torch.float16  
------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                             331,196,416     631.7070
========================================================================================================================


PARAMETER STATISTICS BY LAYER TYPE:
------------------------------------------------------------
Layer Type                                    Count             Elements     Memory (MB)
-------------------------------------------------------------------------------------
fc1.weight                                       24          100,663,296        192.0000
fc2.weight                                       24          100,663,296        192.0000
embed_tokens.weight                               1           25,739,264         49.0938
k_proj.weight                                    24           25,165,824         48.0000
v_proj.weight                                    24           25,165,824         48.0000
q_proj.weight                                    24           25,165,824         48.0000
out_proj.weight                                  24           25,165,824         48.0000
embed_positions.weight                            1            2,099,200          4.0039
project_out.weight                                1              524,288          1.0000
project_in.weight                                 1              524,288          1.0000
fc1.bias                                         24               98,304          0.1875
k_proj.bias                                      24               24,576          0.0469
v_proj.bias                                      24               24,576          0.0469
q_proj.bias                                      24               24,576          0.0469
out_proj.bias                                    24               24,576          0.0469
self_attn_layer_norm.weight                      24               24,576          0.0469
self_attn_layer_norm.bias                        24               24,576          0.0469
fc2.bias                                         24               24,576          0.0469
final_layer_norm.weight                          24               24,576          0.0469
final_layer_norm.bias                            24               24,576          0.0469
