========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-350m
Total trainable parameters: 388

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
121    model.decoder.layers.7.self_attn.q_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
122    model.decoder.layers.7.self_attn.q_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
123    model.decoder.layers.7.self_attn.out_proj.weight             (1024, 1024)                    1,048,576       2.0000 torch.float16  
124    model.decoder.layers.7.self_attn.out_proj.bias               (1024,)                             1,024       0.0020 torch.float16  
125    model.decoder.layers.7.self_attn_layer_norm.weight           (1024,)                             1,024       0.0020 torch.float16  
126    model.decoder.layers.7.self_attn_layer_norm.bias             (1024,)                             1,024       0.0020 torch.float16  
127    model.decoder.layers.7.fc1.weight                            (4096, 1024)                    4,194,304       8.0000 torch.float16  
128    model.decoder.layers.7.fc1.bias                              (4096,)                             4,096       0.0078 torch.float16  
129    model.decoder.layers.7.fc2.weight                            (1024, 4096)                    4,194,304       8.0000 torch.float16  
130    model.decoder.layers.7.fc2.bias                              (1024,)                             1,024       0.0020 torch.float16  
131    model.decoder.layers.7.final_layer_norm.weight               (1024,)                             1,024       0.0020 torch.float16  
132    model.decoder.layers.7.final_layer_norm.bias                 (1024,)                             1,024       0.0020 torch.float16  
133    model.decoder.layers.8.self_attn.k_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
134    model.decoder.layers.8.self_attn.k_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
135    model.decoder.layers.8.self_attn.v_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
136    model.decoder.layers.8.self_attn.v_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
137    model.decoder.layers.8.self_attn.q_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
138    model.decoder.layers.8.self_attn.q_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
139    model.decoder.layers.8.self_attn.out_proj.weight             (1024, 1024)                    1,048,576       2.0000 torch.float16  
140    model.decoder.layers.8.self_attn.out_proj.bias               (1024,)                             1,024       0.0020 torch.float16  
141    model.decoder.layers.8.self_attn_layer_norm.weight           (1024,)                             1,024       0.0020 torch.float16  
142    model.decoder.layers.8.self_attn_layer_norm.bias             (1024,)                             1,024       0.0020 torch.float16  
143    model.decoder.layers.8.fc1.weight                            (4096, 1024)                    4,194,304       8.0000 torch.float16  
144    model.decoder.layers.8.fc1.bias                              (4096,)                             4,096       0.0078 torch.float16  
145    model.decoder.layers.8.fc2.weight                            (1024, 4096)                    4,194,304       8.0000 torch.float16  
146    model.decoder.layers.8.fc2.bias                              (1024,)                             1,024       0.0020 torch.float16  
147    model.decoder.layers.8.final_layer_norm.weight               (1024,)                             1,024       0.0020 torch.float16  
148    model.decoder.layers.8.final_layer_norm.bias                 (1024,)                             1,024       0.0020 torch.float16  
149    model.decoder.layers.9.self_attn.k_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
150    model.decoder.layers.9.self_attn.k_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
151    model.decoder.layers.9.self_attn.v_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
152    model.decoder.layers.9.self_attn.v_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
153    model.decoder.layers.9.self_attn.q_proj.weight               (1024, 1024)                    1,048,576       2.0000 torch.float16  
154    model.decoder.layers.9.self_attn.q_proj.bias                 (1024,)                             1,024       0.0020 torch.float16  
155    model.decoder.layers.9.self_attn.out_proj.weight             (1024, 1024)                    1,048,576       2.0000 torch.float16  
156    model.decoder.layers.9.self_attn.out_proj.bias               (1024,)                             1,024       0.0020 torch.float16  
157    model.decoder.layers.9.self_attn_layer_norm.weight           (1024,)                             1,024       0.0020 torch.float16  
158    model.decoder.layers.9.self_attn_layer_norm.bias             (1024,)                             1,024       0.0020 torch.float16  
159    model.decoder.layers.9.fc1.weight                            (4096, 1024)                    4,194,304       8.0000 torch.float16  
160    model.decoder.layers.9.fc1.bias                              (4096,)                             4,096       0.0078 torch.float16  
161    model.decoder.layers.9.fc2.weight                            (1024, 4096)                    4,194,304       8.0000 torch.float16  
162    model.decoder.layers.9.fc2.bias                              (1024,)                             1,024       0.0020 torch.float16  
163    model.decoder.layers.9.final_layer_norm.weight               (1024,)                             1,024       0.0020 torch.float16  
164    model.decoder.layers.9.final_layer_norm.bias                 (1024,)                             1,024       0.0020 torch.float16  
165    model.decoder.layers.10.self_attn.k_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
166    model.decoder.layers.10.self_attn.k_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
167    model.decoder.layers.10.self_attn.v_proj.weight              (1024, 1024)                    1,048,576       2.0000 torch.float16  
168    model.decoder.layers.10.self_attn.v_proj.bias                (1024,)                             1,024       0.0020 torch.float16  
