================================================================================
DiZO PROFILING SUMMARY - facebook/opt-350m
================================================================================

Model: facebook/opt-350m
Task: SST2
Batch Size: 4
Steps: 5

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.08%     955.000us         1.32%      15.284ms      25.905us       0.000us         0.00%     579.000us       0.981us        -136 b         -88 b      12.23 Mb     282.00 Kb           590            --  
                                         aten::_to_copy         0.23%       2.708ms         1.24%      14.353ms      26.580us       0.000us         0.00%     582.000us       1.078us         -68 b         -68 b      12.31 Mb           0 b           540            --  
                                    cudaLaunchKernelExC         0.78%       9.054ms         0.78%       9.054ms       6.849us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1322            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.51%       5.960ms         0.77%       8.897ms       1.779ms       0.000us         0.00%       0.000us       0.000us       6.06 Kb           0 b           0 b           0 b             5            --  
                                          aten::reshape         0.20%       2.353ms         0.71%       8.177ms       5.488us       0.000us         0.00%     617.000us       0.414us           0 b           0 b      36.38 Mb           0 b          1490            --  
                                                aten::t         0.28%       3.229ms         0.58%       6.697ms       4.556us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1470            --  
                                       aten::empty_like         0.19%       2.217ms         0.56%       6.475ms       6.475us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     216.42 Mb      14.02 Mb          1000            --  
                                        aten::transpose         0.46%       5.346ms         0.53%       6.148ms       2.303us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2670            --  
                                              aten::max         0.05%     625.000us         0.49%       5.703ms      23.762us       0.000us         0.00%     799.000us       3.329us           0 b           0 b      12.09 Mb       1.06 Mb           240            --  
                                          aten::maximum         0.35%       4.044ms         0.47%       5.402ms      22.508us     875.000us         0.08%     875.000us       3.646us           0 b           0 b      12.09 Mb      12.09 Mb           240            --  
