================================================================================
BASELINE ADAMW PROFILING SUMMARY - facebook/opt-2.7b
================================================================================

Model: facebook/opt-2.7b
Task: SST2
Batch Size: 4
Max Length: 512
Steps: 5
Dtype: float16
torch.compile: False

--- CPU Time (sorted by total time) ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::softmax         0.03%     395.000us         0.22%       2.549ms      15.931us       0.000us         0.00%     519.000us       3.244us           0 b           0 b      74.34 Mb     864.00 Kb           160            --  
                                              aten::sub         0.01%     119.000us         0.01%     167.000us      16.700us      13.000us         0.00%      13.000us       1.300us          -8 b          -8 b      74.00 Kb      74.00 Kb            10            --  
                                           aten::cumsum         0.01%      75.000us         0.01%     100.000us      20.000us       8.000us         0.00%       8.000us       1.600us           0 b           0 b       5.50 Kb       5.50 Kb             5            --  
                                 aten::nll_loss_forward         0.01%      80.000us         0.01%     118.000us      23.600us      14.000us         0.00%      14.000us       2.800us           0 b           0 b       5.00 Kb       5.00 Kb             5            --  
                                               aten::to        -0.00%     -49.000us         7.34%      83.791ms     217.639us       0.000us         0.00%     787.000us       2.044us         560 b         -42 b     132.50 Kb       3.50 Kb           385            --  
                               aten::cross_entropy_loss         0.01%      83.000us         0.03%     343.000us      68.600us       0.000us         0.00%     128.000us      25.600us           0 b           0 b      96.66 Mb       1.00 Kb             5            --  
                                           aten::arange         0.01%     100.000us         0.02%     230.000us      23.000us       5.000us         0.00%      23.000us       2.300us           0 b           0 b       5.00 Kb         512 b            10            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      42.058ms         3.49%      42.058ms      63.918us           0 b           0 b           0 b           0 b           658            --  
                                          ProfilerStep*         0.01%     142.000us        78.48%     896.455ms     179.291ms       0.000us         0.00%     450.844ms      90.169ms       3.12 Kb           0 b       3.00 Kb           0 b             5            --  
                                        training_step_3         0.05%     547.000us        18.28%     208.792ms     208.792ms       0.000us         0.00%      84.491ms      84.491ms         704 b           0 b           0 b           0 b             1            --  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.06%     679.000us         0.11%       1.203ms     240.600us       0.000us         0.00%       0.000us       0.000us       8.19 Kb           0 b           0 b           0 b             5            --  
                                             aten::full         0.01%     121.000us         0.02%     280.000us      18.667us       0.000us         0.00%       4.000us       0.267us       8.19 Kb           0 b      18.00 Kb           0 b            15            --  
                                            aten::fill_         0.04%     496.000us         0.09%       1.058ms      15.114us     924.000us         0.08%     924.000us      13.200us         -16 b         -16 b           0 b           0 b            70            --  
                                           aten::select         0.02%     212.000us         0.02%     227.000us       3.783us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                       aten::as_strided         0.14%       1.587ms         0.14%       1.587ms       0.218us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7270            --  
                                            aten::slice         0.03%     309.000us         0.03%     337.000us       2.930us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           115            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.142s
Self CUDA time total: 1.204s
